last_name, first_name,player_id,year,player_age,ab,hit,single,double,triple,home_run,strikeout,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,r_stolen_base_pct,xslg,xobp,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,n_bolts,sprint_speed,
Murphy, Daniel,502517,2020,35,123,29,23,3,0,3,21,15.9,5.3,.236,.333,.275,0.608,,.345,.278,85.1,15.5,35.9,5,4.9,72.2,9.1,32,27.4,72.6,53,307,123,,26.5,
Goldschmidt, Paul,502671,2020,32,191,58,39,13,0,6,43,18.6,16,.304,.466,.417,0.883,,.510,.403,89.2,11.7,42.3,16,10.7,61.1,19.6,22.5,33.3,66.7,92,566,307,,26.4,
Gonzalez, Marwin,503556,2020,31,175,37,28,4,0,5,41,20.6,8.5,.211,.320,.286,0.606,,.401,.315,89.2,12.6,31.9,7,5.1,61.4,18.2,26.8,34.2,64.9,136,385,276,,25.5,
Altuve, Jose,514888,2020,30,192,42,28,9,0,5,39,18.6,8.1,.219,.344,.286,0.630,,.349,.296,86.7,9.3,24.8,7,4.6,67.9,12.4,35.3,32.4,66.9,92,419,242,17,28.4,
Hernandez, Cesar,514917,2020,30,233,66,43,20,0,3,57,21.8,9.2,.283,.408,.355,0.763,,.396,.346,89.1,5.6,37.3,7,4,65,9.9,22.9,46.4,51.2,151,668,246,5,28.5,
Segura, Jean,516416,2020,30,192,51,37,5,2,7,45,20.7,10.6,.266,.422,.347,0.769,,.391,.334,87.7,11.2,31.8,9,6.1,65.1,16,31.5,32.6,65.2,70,494,249,,28.3,
Marte, Starling,516782,2020,31,228,64,43,14,1,6,41,16.4,4.8,.281,.430,.340,0.770,,.420,.326,87.1,6.5,30.3,12,6.4,73,14.9,34.9,44,53.7,142,523,265,8,28.4,
d'Arnaud, Travis,518595,2020,31,165,53,36,8,0,9,50,27.2,8.7,.321,.533,.386,0.919,,.535,.368,93.4,8.1,42.2,13,11.2,68.7,21.7,31.5,51.4,48.6,64,410,199,,26.3,
Donaldson, Josh,518626,2020,34,81,18,10,2,0,6,24,23.5,17.6,.222,.469,.373,0.842,,.418,.370,92.8,6.2,24.1,4,6.9,63.9,24.6,21.3,56.4,43.6,52,258,137,,24.9,
Freeman, Freddie,518692,2020,30,214,73,36,23,1,13,37,14.1,17.2,.341,.640,.462,1.102,,.663,.463,92.4,17.2,49.2,26,14.7,77.7,15.2,25.8,31.3,68.7,202,534,282,,26.4,
Grandal, Yasmani,518735,2020,31,161,37,22,7,0,8,58,29.9,15.5,.230,.422,.351,0.773,,.403,.334,90.3,15.6,38.1,8,7.6,49.3,22.2,20.1,50,50,163,468,220,,23.5,
Heyward, Jason,518792,2020,30,147,39,25,6,2,6,37,20.4,16.6,.265,.456,.392,0.848,,.451,.413,87.6,11.3,42,5,4.5,56.6,18.9,18.5,36.4,63.6,102,470,221,,27.0,
LeMahieu, DJ,518934,2020,31,195,71,49,10,2,10,21,9.7,8.3,.364,.590,.421,1.011,,.460,.376,91.3,2.3,29.7,5,2.9,64,7.1,24,22.2,77.8,82,548,196,,26.1,
Moreland, Mitch,519048,2020,34,136,36,17,9,0,10,32,21.1,9.9,.265,.551,.342,0.893,,.476,.316,88.2,12.5,31.7,15,14.4,71.2,23.3,24.8,52,48,108,311,149,,24.2,
Moustakas, Mike,519058,2020,31,139,32,15,9,0,8,36,22.1,11,.230,.468,.331,0.799,,.430,.340,88.8,16.3,36.2,10,9.5,68.8,15.1,29.5,43.3,56.7,78,330,238,,24.9,
Rizzo, Anthony,519203,2020,30,203,45,28,6,0,11,38,15.6,11.5,.222,.414,.342,0.756,,.413,.383,87.7,16.7,34.7,13,7.8,56,9.8,31.7,32.9,67.1,122,614,242,,24.8,
Romine, Austin,519222,2020,31,130,31,24,5,0,2,47,34.8,3,.238,.323,.259,0.582,,.296,.230,87.9,7.7,33.3,4,4.8,71.2,20.2,36.6,48,52,39,306,177,,25.1,
Sogard, Eric,519299,2020,34,115,24,18,5,0,1,20,15.6,8.6,.209,.278,.281,0.559,,.312,.326,84.4,15.2,43.8,0,0,55.2,3,22.3,22.4,74.1,82,289,119,,25.7,
Thames, Eric,519346,2020,33,123,25,17,5,0,3,42,30,10,.203,.317,.300,0.617,,.379,.314,88.7,14.6,35.8,5,6.2,67.9,20.3,31.7,45.5,54.5,112,295,168,,25.9,
Galvis, Freddy,520471,2020,30,141,31,19,5,0,7,30,18.9,8.2,.220,.404,.308,0.712,,.360,.309,87,13.6,27,5,4.5,66.1,20.4,26.7,39.8,60.2,93,341,178,,25.9,
Perez, Salvador,521692,2020,30,150,50,27,12,0,11,36,23.1,1.9,.333,.633,.353,0.986,,.626,.345,91,14.2,41.7,16,13.9,79.3,16.2,43.5,41.4,58.6,62,275,219,,25.1,
Flores, Wilmer,527038,2020,28,198,53,29,11,1,12,36,16.9,6.1,.268,.515,.315,0.830,,.430,.294,87.9,19,37.4,10,6.1,69.4,12.7,29.8,27.8,72.2,115,521,256,,25.1,
Garcia, Avisail,541645,2020,29,181,43,31,10,0,2,49,23.7,9.7,.238,.326,.333,0.659,,.375,.339,87.4,8.7,37.1,5,3.8,78.7,23.9,34.4,55.1,44.9,73,440,191,,28.0,
Inciarte, Ender,542255,2020,29,116,22,18,2,1,1,25,19.1,9.2,.190,.250,.262,0.512,,.261,.283,78.2,8.4,29.8,1,1.1,66.8,19.6,27.5,34.3,64.3,74,330,134,,26.1,
Ozuna, Marcell,542303,2020,29,228,77,45,14,0,18,60,22.5,14.2,.338,.636,.431,1.067,,.635,.410,93,16.4,39.1,26,15.4,68.8,21,28.2,51.8,48.2,162,577,330,,27.1,
Villar, Jonathan,542340,2020,29,185,43,36,5,0,2,54,26.1,9.2,.232,.292,.301,0.593,,.287,.288,86.7,1.6,18.7,2,1.5,74.7,22.4,33.6,48.7,51.3,166,435,198,1,27.1,
Aguilar, Jesus,542583,2020,30,188,52,34,10,0,8,40,18.5,10.6,.277,.457,.352,0.809,,.452,.348,89.3,16,37.5,11,7.2,63.8,13.7,31.9,38.4,61.6,98,523,256,,24.5,
Berti, Jon,542932,2020,30,120,31,24,5,0,2,37,24.8,15.4,.258,.350,.388,0.738,,.316,.374,86.6,7.2,32.6,3,3.5,53.7,11.4,16.2,46.8,53.2,47,371,167,12,29.2,
Crawford, Brandon,543063,2020,33,172,44,24,12,0,8,47,24.4,7.8,.256,.465,.326,0.791,,.398,.311,88.7,12.4,35.4,12,9.4,78.3,21.6,31.7,55.1,44.9,132,388,200,,25.7,
Dickerson, Alex,543105,2020,30,151,45,24,10,1,10,30,17.6,9.4,.298,.576,.371,0.947,,.494,.345,90.9,17.8,30.3,13,10.7,72.6,15.4,31.5,38.5,61.5,91,354,158,,27.0,
Gomes, Yan,543228,2020,32,109,31,20,6,1,4,22,18.5,5,.284,.468,.319,0.787,,.462,.322,89.9,17.6,38.9,5,5.6,65.5,14.8,33.2,37.9,62.1,38,254,108,,26.0,
Grossman, Robbie,543257,2020,30,166,40,18,12,2,8,38,19.8,10.9,.241,.482,.344,0.826,,.399,.344,89,15.2,33.6,7,5.5,65.9,12.8,21.7,34.9,65.1,153,401,187,,27.5,
Hicks, Aaron,543305,2020,30,169,38,20,10,2,6,38,18,19.4,.225,.414,.379,0.793,,.435,.405,88.2,11.1,29.8,9,6.9,66.6,22.6,15.4,48,52,214,496,203,,27.5,
Hosmer, Eric,543333,2020,30,143,41,26,6,0,9,28,17.9,5.8,.287,.517,.333,0.850,,.520,.334,90.8,8.7,33.3,12,10.3,68.7,14.4,34.7,29.9,68.2,84,323,160,,25.6,
Kipnis, Jason,543401,2020,33,114,27,15,8,1,3,41,30.4,13.3,.237,.404,.341,0.745,,.332,.293,86.2,18.2,28,7,9.3,58.6,14,23.3,53.4,46.6,67,345,172,,27.5,
McCann, James,543510,2020,30,97,28,18,3,0,7,30,27,7.2,.289,.536,.360,0.896,,.458,.340,90.5,15,40.6,6,8.7,67.7,18.8,27.3,54,46,38,269,138,,26.1,
Miller, Brad,543543,2020,30,142,33,17,8,1,7,46,26.9,14.6,.232,.451,.357,0.808,,.481,.377,89.8,11.2,33,13,13.4,60,30.6,23.8,45.2,54.8,133,358,201,,27.3,
Nola, Austin,543592,2020,30,161,44,27,9,1,7,34,18.5,9.8,.273,.472,.353,0.825,,.467,.362,89.7,12.5,40.3,10,7.8,62.5,16,16.3,36.8,63.2,100,423,198,,26.3,
Rendon, Anthony,543685,2020,30,189,54,33,11,1,9,31,13.4,16.4,.286,.497,.418,0.915,,.469,.420,90.1,19.5,39.2,10,6.3,66.8,8.9,16.7,35.9,64.1,68,562,252,,26.4,
Semien, Marcus,543760,2020,29,211,47,30,9,1,7,50,21.2,10.6,.223,.374,.305,0.679,,.352,.293,86.2,19.3,32.9,8,5,70.7,18.5,18.7,40.4,59.6,115,598,255,,28.0,
Shaw, Travis,543768,2020,30,163,39,23,10,0,6,50,27.8,8.9,.239,.411,.306,0.717,,.436,.309,90.9,19.8,34.2,9,7.9,69.9,25,24.7,40.4,58.4,123,407,177,,25.0,
Springer III, George,543807,2020,30,189,50,28,6,2,14,38,17.1,10.8,.265,.540,.359,0.899,,.569,.386,88.7,18.3,35.3,19,12.4,74,19.3,23.6,42.6,57.4,101,495,207,6,28.2,
