name,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_caught_stealing,r_total_stolen_base,exit_velocity_avg,sweet_spot_percent,barrel_batted_rate,hp_to_1b,sprint_speed,team_id,team_name,division,league,avg_220,avg_240,avg_260,avg_280,avg_300,hr_10,hr_20,hr_30,hr_40,sb_05,sb_10,sb_15,sb_20
"Palacios, Joshua",641943,2022,26,47,49,10,8,2,0,0,15,1,30.6,2.0,0.213,0.255,0.245,0.5,2,0,1,81.3,28.1,0.0,4.2,28.5,120.0,WSH,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Robinson, Chuckie",642020,2022,27,59,60,8,4,2,0,2,17,0,28.3,0.0,0.136,0.271,0.136,0.407,5,0,0,86.2,23.3,9.3,4.61,26.5,113.0,CIN,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Smith, Dominic",642086,2022,27,134,152,26,15,10,1,0,37,12,24.3,7.9,0.194,0.284,0.276,0.56,17,0,0,89.6,28.3,7.1,4.52,26.3,121.0,NYM,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Tellez, Rowdy",642133,2022,27,529,599,116,58,23,0,35,121,62,20.2,10.4,0.219,0.461,0.306,0.767,89,1,2,91.1,31.4,12.9,4.83,23.8,158.0,MIL,NLC,NL,False,False,False,False,False,True,True,True,False,False,False,False,False
"Thaiss, Matt",642136,2022,27,69,81,15,12,1,0,2,24,11,29.6,13.6,0.217,0.319,0.321,0.64,8,0,1,88.5,21.7,6.5,4.88,24.4,108.0,LAA,ALW,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Thomas, Cody",642137,2022,27,30,32,8,8,0,0,0,12,2,37.5,6.3,0.267,0.267,0.313,0.58,0,0,0,89.5,33.3,0.0,,26.3,133.0,OAK,ALW,AL,True,True,True,False,False,False,False,False,False,False,False,False,False
"VanMeter, Josh",642165,2022,27,171,192,32,22,5,2,3,45,19,23.4,9.9,0.187,0.292,0.266,0.558,14,0,4,88.1,37.5,4.7,4.62,26.1,134.0,PIT,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Wade, Tyler",642180,2022,27,147,163,32,26,5,0,1,33,10,20.2,6.1,0.218,0.272,0.272,0.544,8,5,8,83.9,37.0,1.7,4.16,29.0,108.0,LAA,ALW,AL,False,False,False,False,False,False,False,False,False,True,False,False,False
"White, Eli",642201,2022,28,105,117,21,16,2,0,3,41,11,35.0,9.4,0.2,0.305,0.274,0.579,10,1,12,86.4,30.8,4.6,4.11,30.0,140.0,TEX,ALW,AL,False,False,False,False,False,False,False,False,False,True,True,False,False
"Mejia, Francisco",642336,2022,26,289,299,70,42,22,0,6,65,7,21.7,2.3,0.242,0.381,0.264,0.645,31,0,0,86.8,39.1,2.7,4.41,26.9,139.0,TB,ALE,AL,True,True,False,False,False,False,False,False,False,False,False,False,False
"Siri, Jose",642350,2022,26,301,325,64,42,13,2,7,108,20,33.2,6.2,0.213,0.339,0.268,0.607,24,2,14,87.2,35.1,6.2,4.2,30.4,139.0,TB,ALE,AL,False,False,False,False,False,False,False,False,False,True,True,False,False
"Sierra, Magneuris",642423,2022,26,91,96,15,11,1,3,0,25,4,26.0,4.2,0.165,0.242,0.2,0.442,5,1,6,82.2,22.4,0.0,4.07,29.6,108.0,LAA,ALW,AL,False,False,False,False,False,False,False,False,False,True,False,False,False
"Barrera, Luis",642456,2022,26,77,85,18,12,5,0,1,17,6,20.0,7.1,0.234,0.338,0.294,0.632,7,0,3,87.1,32.8,3.3,4.22,28.5,133.0,OAK,ALW,AL,True,False,False,False,False,False,False,False,False,False,False,False,False
"Rosario, Amed",642708,2022,26,637,670,180,134,26,9,11,111,25,16.6,3.7,0.283,0.403,0.312,0.715,71,4,18,88.4,31.1,4.5,4.17,29.5,114.0,CLE,ALC,AL,True,True,True,True,False,True,False,False,False,True,True,True,False
"Adames, Willy",642715,2022,26,563,617,134,72,31,0,31,166,49,26.9,7.9,0.238,0.458,0.298,0.756,98,3,8,88.9,36.4,13.0,4.41,27.8,158.0,MIL,NLC,NL,True,False,False,False,False,True,True,True,False,True,False,False,False
"Gutierrez, Kelvin",642721,2022,27,28,33,4,3,1,0,0,8,4,24.2,12.1,0.143,0.179,0.25,0.429,3,0,1,89.6,25.0,5.0,,28.1,110.0,BAL,ALE,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Alcantara, Sergio",642727,2022,25,205,224,45,30,8,1,6,57,12,25.4,5.4,0.22,0.356,0.261,0.617,29,2,1,86.6,32.5,1.9,4.43,27.6,109.0,ARI,NLW,NL,True,False,False,False,False,False,False,False,False,False,False,False,False
"Estrada, Thairo",642731,2022,26,488,541,127,89,22,2,14,89,33,16.5,6.1,0.26,0.4,0.322,0.722,62,6,21,86.2,31.6,4.4,4.3,28.3,137.0,SF,NLW,NL,True,True,True,False,False,True,False,False,False,True,True,True,True
"Wynns, Austin",642851,2022,31,162,177,42,32,7,0,3,38,10,21.5,5.6,0.259,0.358,0.313,0.671,21,0,0,84.1,31.7,4.0,4.87,24.9,137.0,SF,NLW,NL,True,True,False,False,False,False,False,False,False,False,False,False,False
"Benintendi, Andrew",643217,2022,27,461,521,140,109,23,3,5,77,52,14.8,10.0,0.304,0.399,0.373,0.772,51,3,8,89.2,39.2,5.1,4.38,27.5,147.0,NYY,ALE,AL,True,True,True,True,True,False,False,False,False,True,False,False,False
"Cooper, Garrett",643265,2022,31,414,469,108,64,33,2,9,119,40,25.4,8.5,0.261,0.415,0.337,0.752,50,0,0,89.6,39.0,10.7,4.66,26.3,146.0,MIA,NLE,NL,True,True,True,False,False,False,False,False,False,False,False,False,False
"Dubon, Mauricio",643289,2022,27,243,265,52,38,9,0,5,30,13,11.3,4.9,0.214,0.313,0.252,0.565,24,3,2,84.7,28.1,2.3,4.28,28.2,117.0,HOU,ALW,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Hamilton, Caleb",643348,2022,27,18,23,1,0,0,0,1,14,4,60.9,17.4,0.056,0.222,0.227,0.449,1,0,0,95.7,40.0,20.0,,,142.0,MIN,ALC,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Jansen, Danny",643376,2022,27,215,248,56,31,10,0,15,44,25,17.7,10.1,0.26,0.516,0.339,0.855,44,0,1,90.4,34.7,13.1,4.51,27.5,141.0,TOR,ALE,AL,True,True,True,False,False,True,False,False,False,False,False,False,False
"Kemp, Tony",643393,2022,30,497,558,117,84,24,2,7,69,45,12.4,8.1,0.235,0.334,0.307,0.641,46,1,11,84.4,33.9,1.6,4.47,26.1,133.0,OAK,ALW,AL,True,False,False,False,False,False,False,False,False,True,True,False,False
"Kiner-Falefa, Isiah",643396,2022,27,483,531,126,102,20,0,4,72,35,13.6,6.6,0.261,0.327,0.314,0.641,48,4,22,86.2,29.6,1.2,4.27,28.4,147.0,NYY,ALE,AL,True,True,True,False,False,False,False,False,False,True,True,True,True
"McNeil, Jeff",643446,2022,30,533,589,174,125,39,1,9,61,40,10.4,6.8,0.326,0.454,0.382,0.836,62,0,4,86.9,39.0,2.7,4.16,27.4,121.0,NYM,NLE,NL,True,True,True,True,True,False,False,False,False,False,False,False,False
"Schwindel, Frank",643524,2022,30,271,292,62,43,11,0,8,58,19,19.9,6.5,0.229,0.358,0.277,0.635,36,0,0,88.1,31.6,4.7,4.65,25.6,112.0,CHC,NLC,NL,True,False,False,False,False,False,False,False,False,False,False,False,False
"Chang, Yu",644374,2022,26,168,190,35,25,6,0,4,59,16,31.1,8.4,0.208,0.315,0.289,0.604,15,1,0,88.8,35.1,9.0,4.52,28.4,111.0,BOS,ALE,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Albies, Ozzie",645277,2022,25,247,269,61,37,16,0,8,47,16,17.5,5.9,0.247,0.409,0.294,0.703,35,5,3,87.1,34.8,5.4,4.2,27.5,144.0,ATL,NLE,NL,True,True,False,False,False,False,False,False,False,False,False,False,False
"Robles, Victor",645302,2022,25,366,407,82,64,10,2,6,104,17,25.6,4.2,0.224,0.311,0.273,0.584,33,4,15,84.6,29.2,3.2,4.36,28.7,120.0,WSH,NLE,NL,True,False,False,False,False,False,False,False,False,True,True,True,False
"Herrera, Jose",645444,2022,25,111,124,21,19,2,0,0,34,9,27.4,7.3,0.189,0.207,0.25,0.457,5,0,0,84.7,23.5,0.0,4.64,25.3,109.0,ARI,NLW,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Ford, Mike",645801,2022,29,131,149,27,19,5,0,3,40,17,26.8,11.4,0.206,0.313,0.302,0.615,10,0,0,88.7,37.4,3.3,4.79,24.2,108.0,LAA,ALW,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Devers, Rafael",646240,2022,25,555,614,164,94,42,1,27,114,50,18.6,8.1,0.295,0.521,0.358,0.879,88,1,3,93.1,33.1,11.5,4.57,25.5,111.0,BOS,ALE,AL,True,True,True,True,False,True,True,False,False,False,False,False,False
"Naylor, Josh",647304,2022,25,449,498,115,67,28,0,20,80,38,16.1,7.6,0.256,0.452,0.319,0.771,79,1,6,89.4,28.9,8.6,4.63,25.3,114.0,CLE,ALC,AL,True,True,False,False,False,True,True,False,False,True,False,False,False
"Toro, Abraham",647351,2022,25,324,352,60,36,13,1,10,65,22,18.5,6.3,0.185,0.324,0.239,0.563,35,0,2,87.0,31.2,6.8,4.31,28.0,136.0,SEA,ALW,AL,False,False,False,False,False,True,False,False,False,False,False,False,False
"Diaz, Aledmys",649557,2022,31,305,327,74,49,13,0,12,53,18,16.2,5.5,0.243,0.403,0.287,0.69,38,1,1,86.6,30.3,6.3,4.33,27.7,117.0,HOU,ALW,AL,True,True,False,False,False,True,False,False,False,False,False,False,False
"Urias, Luis",649966,2022,25,406,472,97,63,17,1,16,99,50,21.0,10.6,0.239,0.404,0.335,0.739,47,2,1,87.3,34.3,8.3,4.63,26.4,158.0,MIL,NLC,NL,True,False,False,False,False,True,False,False,False,False,False,False,False
"Diaz, Lewin",650331,2022,25,160,174,27,18,4,0,5,54,11,31.0,6.3,0.169,0.287,0.224,0.511,11,0,1,88.3,29.6,5.6,4.74,24.7,146.0,MIA,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Arraez, Luis",650333,2022,25,547,603,173,133,31,1,8,43,50,7.1,8.3,0.316,0.42,0.375,0.795,49,4,4,88.9,38.7,3.6,4.49,26.8,142.0,MIN,ALC,AL,True,True,True,True,True,False,False,False,False,False,False,False,False
"Palacios, Jermaine",650339,2022,25,70,77,10,8,0,0,2,27,4,35.1,5.2,0.143,0.229,0.184,0.413,6,0,0,87.5,34.8,6.5,4.45,28.4,142.0,MIN,ALC,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Jimenez, Eloy",650391,2022,25,292,327,86,58,12,0,16,72,28,22.0,8.6,0.295,0.5,0.358,0.858,54,0,0,92.8,31.7,14.7,4.62,25.7,145.0,CWS,ALC,AL,True,True,True,True,False,True,False,False,False,False,False,False,False
"Torres, Gleyber",650402,2022,25,526,572,135,82,28,1,24,129,39,22.6,6.8,0.257,0.451,0.31,0.761,76,5,10,90.4,36.2,10.7,4.51,26.9,147.0,NYY,ALE,AL,True,True,False,False,False,True,True,False,False,True,True,False,False
"Castro, Willi",650489,2022,25,365,392,88,60,18,2,8,82,15,20.9,3.8,0.241,0.367,0.284,0.651,31,4,9,84.8,35.5,3.5,4.29,28.4,116.0,DET,ALC,AL,True,True,False,False,False,False,False,False,False,True,False,False,False
"Diaz, Yandy",650490,2022,30,473,558,140,98,33,0,9,60,78,10.8,14.0,0.296,0.423,0.401,0.824,57,3,3,92.2,30.7,4.8,4.53,27.1,139.0,TB,ALE,AL,True,True,True,True,False,False,False,False,False,False,False,False,False
"De La Cruz, Bryan",650559,2022,25,329,355,83,50,20,0,13,90,19,25.4,5.4,0.252,0.432,0.294,0.726,43,0,4,90.8,43.6,11.9,4.52,27.8,146.0,MIA,NLE,NL,True,True,False,False,False,True,False,False,False,False,False,False,False
"Viloria, Meibrys",650619,2022,25,63,75,10,7,1,0,2,29,11,38.7,14.7,0.159,0.27,0.28,0.55,5,0,0,88.4,31.4,8.6,,25.3,140.0,TEX,ALW,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Rengifo, Luis",650859,2022,25,489,511,129,86,22,4,17,79,17,15.5,3.3,0.264,0.429,0.294,0.723,52,2,6,86.9,31.1,5.4,4.31,27.9,108.0,LAA,ALW,AL,True,True,True,False,False,True,False,False,False,True,False,False,False
"Pinto, Rene",650907,2022,25,80,83,17,12,3,0,2,35,2,42.2,2.4,0.212,0.325,0.241,0.566,10,0,0,89.1,20.0,4.4,4.46,26.8,139.0,TB,ALE,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Perez, Carlos",656024,2022,25,18,18,4,2,2,0,0,2,0,11.1,0.0,0.222,0.333,0.222,0.555,2,0,0,82.4,25.0,0.0,,25.1,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False
"Adams, Riley",656180,2022,26,142,155,25,16,4,0,5,46,12,29.7,7.7,0.176,0.31,0.245,0.555,10,1,0,90.2,25.0,9.4,4.62,26.7,120.0,WSH,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Allen, Greg",656185,2022,29,118,134,22,16,4,0,2,42,10,31.3,7.5,0.186,0.271,0.26,0.531,8,2,8,87.6,25.0,2.5,4.47,28.1,134.0,PIT,NLC,NL,False,False,False,False,False,False,False,False,False,True,False,False,False
"Bouchard, Sean",656248,2022,26,74,97,22,13,6,0,3,25,21,25.8,21.6,0.297,0.5,0.454,0.954,11,0,0,89.8,44.0,2.0,,28.0,115.0,COL,NLW,NL,True,True,True,True,False,False,False,False,False,False,False,False,False
"Bradley, Bobby",656252,2022,26,17,17,2,2,0,0,0,9,0,52.9,0.0,0.118,0.118,0.118,0.236,0,0,0,87.5,25.0,0.0,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
"Chapman, Matt",656305,2022,29,538,621,123,68,27,1,27,170,68,27.4,11.0,0.229,0.433,0.324,0.757,76,2,2,92.2,34.0,12.9,4.44,28.4,141.0,TOR,ALE,AL,True,False,False,False,False,True,True,False,False,False,False,False,False
"Chavis, Michael",656308,2022,26,401,426,92,59,16,3,14,126,19,29.6,4.5,0.229,0.389,0.265,0.654,49,1,1,85.4,33.0,7.5,4.36,28.8,134.0,PIT,NLC,NL,True,False,False,False,False,True,False,False,False,False,False,False,False
"Dunand, Joe",656388,2022,26,10,11,3,1,1,0,1,3,0,27.3,0.0,0.3,0.7,0.364,1.064,1,0,0,85.9,28.6,0.0,,,,,,,True,True,True,True,True,False,False,False,False,False,False,False,False
"Ellis, Drew",656403,2022,26,16,17,3,2,1,0,0,7,1,41.2,5.9,0.188,0.25,0.235,0.485,1,0,0,88.4,44.4,0.0,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
"Fairchild, Stuart",656413,2022,26,97,110,24,14,4,1,5,34,8,30.9,7.3,0.247,0.464,0.336,0.8,6,2,0,88.9,31.7,9.5,4.26,29.0,113.0,CIN,NLC,NL,True,True,False,False,False,False,False,False,False,False,False,False,False
"Garrett, Stone",656448,2022,26,76,84,21,9,8,0,4,27,3,32.1,3.6,0.276,0.539,0.309,0.848,10,1,3,92.9,28.0,10.0,4.46,28.6,109.0,ARI,NLW,NL,True,True,True,False,False,False,False,False,False,False,False,False,False
"Guthrie, Dalton",656495,2022,26,21,28,7,6,0,0,1,7,6,25.0,21.4,0.333,0.476,0.5,0.976,5,0,1,76.8,50.0,7.1,,28.8,143.0,PHI,NLE,NL,True,True,True,True,True,False,False,False,False,False,False,False,False
"Harrison, Monte",656509,2022,26,11,14,2,1,0,0,1,8,2,57.1,14.3,0.182,0.455,0.357,0.812,3,0,1,103.0,0.0,33.3,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
"Haseley, Adam",656514,2022,26,21,25,5,5,0,0,0,7,3,28.0,12.0,0.238,0.238,0.333,0.571,2,0,0,84.0,13.3,0.0,,27.9,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False
"Hill, Derek",656537,2022,26,83,92,19,16,2,0,1,28,5,30.4,5.4,0.229,0.289,0.27,0.559,3,0,3,85.2,33.9,3.4,4.23,29.6,116.0,DET,ALC,AL,True,False,False,False,False,False,False,False,False,False,False,False,False
"Hilliard, Sam",656541,2022,28,174,200,32,23,6,1,2,57,23,28.5,11.5,0.184,0.264,0.28,0.544,14,1,5,92.0,27.7,9.2,4.2,28.7,115.0,COL,NLW,NL,False,False,False,False,False,False,False,False,False,True,False,False,False
"Hoskins, Rhys",656555,2022,29,589,672,145,80,33,2,30,169,72,25.1,10.7,0.246,0.462,0.332,0.794,79,1,2,90.1,37.3,11.1,4.73,25.9,143.0,PHI,NLE,NL,True,True,False,False,False,True,True,True,False,False,False,False,False
"Jackson, Alex",656577,2022,26,12,12,3,3,0,0,0,7,0,58.3,0.0,0.25,0.25,0.25,0.5,0,0,0,79.7,40.0,0.0,,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False
"Joe, Connor",656582,2022,29,404,467,96,65,20,4,7,97,55,20.8,11.8,0.238,0.359,0.338,0.697,28,2,6,85.3,35.1,4.5,4.57,26.8,115.0,COL,NLW,NL,True,False,False,False,False,False,False,False,False,True,False,False,False
"Kolozsvary, Mark",656627,2022,26,20,21,4,1,2,0,1,9,1,42.9,4.8,0.2,0.45,0.238,0.688,3,0,0,88.3,45.5,9.1,,28.1,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
"Luplow, Jordan",656669,2022,28,205,234,36,20,5,0,11,60,25,25.6,10.7,0.176,0.361,0.274,0.635,28,1,5,87.2,24.0,7.5,4.45,27.8,109.0,ARI,NLW,NL,False,False,False,False,False,True,False,False,False,True,False,False,False
"Matijevic, J.J.",656695,2022,26,67,71,14,10,2,0,2,25,2,35.2,2.8,0.209,0.328,0.254,0.582,5,0,1,88.8,33.3,2.4,4.35,26.6,117.0,HOU,ALW,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"McKinstry, Zach",656716,2022,27,166,185,33,19,6,3,5,52,16,28.1,8.6,0.199,0.361,0.273,0.634,14,0,7,86.4,41.4,4.3,4.31,28.3,112.0,CHC,NLC,NL,False,False,False,False,False,False,False,False,False,True,False,False,False
"Mullins II, Cedric",656775,2022,27,608,672,157,105,32,4,16,126,47,18.8,7.0,0.258,0.403,0.318,0.721,64,10,34,88.8,29.3,4.9,4.16,28.4,110.0,BAL,ALE,AL,True,True,False,False,False,True,False,False,False,True,True,True,True
"O'Hearn, Ryan",656811,2022,28,134,145,32,24,6,1,1,35,8,24.1,5.5,0.239,0.321,0.29,0.611,16,0,0,92.1,38.0,7.0,4.54,27.3,118.0,KC,ALC,AL,True,False,False,False,False,False,False,False,False,False,False,False,False
"Padlo, Kevin",656821,2022,25,33,34,4,3,1,0,0,10,1,29.4,2.9,0.121,0.152,0.147,0.299,3,0,0,90.8,21.7,0.0,,25.8,134.0,PIT,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Rivera, Emmanuel",656896,2022,26,330,359,77,46,16,3,12,83,23,23.1,6.4,0.233,0.409,0.292,0.701,40,2,1,90.4,32.3,9.3,4.68,26.9,109.0,ARI,NLW,NL,True,False,False,False,False,True,False,False,False,False,False,False,False
"Schwarber, Kyle",656941,2022,29,577,669,126,56,21,3,46,200,86,29.9,12.9,0.218,0.504,0.323,0.827,94,1,10,93.3,35.4,20.1,4.51,26.4,143.0,PHI,NLE,NL,False,False,False,False,False,True,True,True,True,True,True,False,False
"Smith, Pavin",656976,2022,26,245,277,54,36,9,0,9,67,28,24.2,10.1,0.22,0.367,0.3,0.667,33,0,1,87.9,28.7,9.9,4.57,26.5,109.0,ARI,NLW,NL,True,False,False,False,False,False,False,False,False,False,False,False,False
"Thomas, Lane",657041,2022,26,498,548,120,75,26,2,17,132,41,24.1,7.5,0.241,0.404,0.301,0.705,52,4,8,86.4,32.6,6.5,4.38,29.4,120.0,WSH,NLE,NL,True,True,False,False,False,True,False,False,False,True,False,False,False
"Tucker, Cole",657061,2022,25,63,63,11,9,1,1,0,25,0,39.7,0.0,0.175,0.222,0.175,0.397,2,0,1,82.4,39.5,7.9,4.35,27.7,134.0,PIT,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Verdugo, Alex",657077,2022,26,593,644,166,115,39,1,11,86,42,13.4,6.5,0.28,0.405,0.328,0.733,74,3,1,89.1,37.8,6.0,4.38,26.8,111.0,BOS,ALE,AL,True,True,True,True,False,True,False,False,False,False,False,False,False
"Wong, Connor",657136,2022,26,48,56,9,5,3,0,1,16,5,28.6,8.9,0.188,0.313,0.273,0.586,7,0,0,89.8,20.6,11.8,4.33,28.8,111.0,BOS,ALE,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Alvarez, Eddy",657193,2022,32,25,27,4,4,0,0,0,9,0,33.3,0.0,0.16,0.16,0.154,0.314,3,0,1,88.0,22.2,0.0,,26.8,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
"DeJong, Paul",657557,2022,28,210,237,33,18,9,0,6,79,21,33.3,8.9,0.157,0.286,0.245,0.531,25,2,3,87.6,25.6,9.8,4.47,27.8,138.0,STL,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Laureano, Ramon",657656,2022,27,346,383,73,42,18,0,13,104,25,27.2,6.5,0.211,0.376,0.287,0.663,34,6,11,88.7,28.9,11.6,4.43,27.6,133.0,OAK,ALW,AL,False,False,False,False,False,True,False,False,False,True,True,False,False
"Papierski, Michael",657709,2022,26,91,103,13,11,1,0,1,26,10,25.2,9.7,0.143,0.187,0.228,0.415,4,0,0,77.4,28.4,0.0,4.84,24.7,113.0,CIN,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Sheets, Gavin",657757,2022,26,377,410,91,57,19,0,15,86,27,21.0,6.6,0.241,0.411,0.295,0.706,53,0,0,88.6,32.3,6.5,4.52,26.6,145.0,CWS,ALC,AL,True,True,False,False,False,True,False,False,False,False,False,False,False
"Olivares, Edward",658668,2022,26,161,174,46,34,8,0,4,36,10,20.7,5.7,0.286,0.41,0.333,0.743,15,3,2,89.2,34.9,6.3,4.36,28.6,118.0,KC,ALC,AL,True,True,True,True,False,False,False,False,False,False,False,False,False
"Moncada, Yoan",660162,2022,27,397,433,84,53,18,1,12,114,32,26.3,7.4,0.212,0.353,0.273,0.626,51,0,2,88.7,35.1,9.8,4.39,27.3,145.0,CWS,ALC,AL,False,False,False,False,False,True,False,False,False,False,False,False,False
"Ohtani, Shohei",660271,2022,27,586,666,160,90,30,6,34,161,72,24.2,10.8,0.273,0.519,0.356,0.875,95,9,11,92.9,35.0,16.8,4.09,28.3,108.0,LAA,ALW,AL,True,True,True,False,False,True,True,True,False,True,True,False,False
"Tsutsugo, Yoshi",660294,2022,30,170,193,29,23,4,0,2,50,19,25.9,9.8,0.171,0.229,0.249,0.478,19,0,0,88.8,32.3,5.6,4.47,26.0,134.0,PIT,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Arauz, Jonathan",660620,2022,23,38,41,5,4,0,0,1,12,1,29.3,2.4,0.132,0.211,0.15,0.361,5,0,0,87.4,50.0,7.1,,25.6,110.0,BAL,ALE,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Hernandez, Yonny",660634,2022,24,24,28,2,2,0,0,0,4,2,14.3,7.1,0.083,0.083,0.154,0.237,0,0,2,82.3,22.7,0.0,,26.8,109.0,ARI,NLW,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Castillo, Diego",660636,2022,24,262,283,54,30,13,0,11,75,14,26.5,4.9,0.206,0.382,0.251,0.633,29,1,1,89.1,37.7,9.9,4.56,27.3,134.0,PIT,NLC,NL,False,False,False,False,False,True,False,False,False,False,False,False,False
"Brujan, Vidal",660644,2022,24,147,162,24,16,5,0,3,37,12,22.8,7.4,0.163,0.259,0.228,0.487,16,5,5,86.1,30.4,2.7,4.28,28.5,139.0,TB,ALE,AL,False,False,False,False,False,False,False,False,False,True,False,False,False
"Garcia, Dermis",660650,2022,24,116,125,24,13,6,0,5,55,8,44.0,6.4,0.207,0.388,0.264,0.652,20,0,0,86.5,27.9,13.1,4.65,27.5,133.0,OAK,ALW,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Acuna Jr., Ronald",660670,2022,24,467,533,124,85,24,0,15,126,53,23.6,9.9,0.266,0.413,0.351,0.764,50,11,29,91.2,32.8,12.8,4.27,28.5,144.0,ATL,NLE,NL,True,True,True,False,False,True,False,False,False,True,True,True,True
"Ruiz, Keibert",660688,2022,23,394,433,99,70,22,0,7,50,30,11.5,6.9,0.251,0.36,0.313,0.673,36,1,6,88.0,36.3,3.7,4.77,25.3,120.0,WSH,NLE,NL,True,True,False,False,False,False,False,False,False,True,False,False,False
"Montero, Elehuris",660707,2022,23,176,185,41,19,15,1,6,60,8,32.4,4.3,0.233,0.432,0.27,0.702,20,0,0,89.8,34.5,8.6,4.66,26.9,115.0,COL,NLW,NL,True,False,False,False,False,False,False,False,False,False,False,False,False
"Gonzalez, Oscar",660757,2022,24,362,382,107,69,27,0,11,75,15,19.6,3.9,0.296,0.461,0.327,0.788,43,2,1,88.6,32.5,7.3,4.35,28.8,114.0,CLE,ALC,AL,True,True,True,True,False,True,False,False,False,False,False,False,False
"Yepez, Juan",660766,2022,24,253,274,64,39,13,0,12,61,16,22.3,5.8,0.253,0.447,0.296,0.743,30,0,0,86.5,33.2,9.2,4.66,26.8,138.0,STL,NLC,NL,True,True,False,False,False,True,False,False,False,False,False,False,False
"Sanchez, Jesus",660821,2022,24,313,343,67,37,14,3,13,92,26,26.8,7.6,0.214,0.403,0.28,0.683,36,0,1,89.5,25.7,9.9,4.48,27.3,146.0,MIA,NLE,NL,False,False,False,False,False,True,False,False,False,False,False,False,False
"Park, Hoy",660829,2022,26,51,60,11,7,2,0,2,15,4,25.0,6.7,0.216,0.373,0.276,0.649,6,0,1,85.1,20.0,10.0,4.3,27.6,134.0,PIT,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Contreras, William",661388,2022,24,334,376,93,58,14,1,20,104,39,27.7,10.4,0.278,0.506,0.354,0.86,45,0,2,90.4,31.9,13.4,4.51,27.0,144.0,ATL,NLE,NL,True,True,True,False,False,True,True,False,False,False,False,False,False
"Serven, Brian",661531,2022,27,187,205,38,27,4,1,6,44,13,21.5,6.3,0.203,0.332,0.261,0.593,16,0,0,84.5,32.9,2.7,4.52,26.5,115.0,COL,NLW,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Varsho, Daulton",662139,2022,25,531,592,125,72,23,3,27,145,46,24.5,7.8,0.235,0.443,0.302,0.745,74,6,16,87.7,33.6,10.2,4.28,28.0,109.0,ARI,NLW,NL,True,False,False,False,False,True,True,False,False,True,True,True,False
"Nootbaar, Lars",663457,2022,24,290,347,66,33,16,3,14,71,51,20.5,14.7,0.228,0.448,0.34,0.788,40,1,4,91.7,30.4,12.1,4.28,28.2,138.0,STL,NLC,NL,True,False,False,False,False,True,False,False,False,False,False,False,False
"Davis, Brendon",663478,2022,24,10,11,2,2,0,0,0,3,1,27.3,9.1,0.2,0.2,0.273,0.473,0,0,1,88.0,42.9,14.3,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
"Nevin, Tyler",663527,2022,25,157,184,31,25,4,0,2,46,20,25.0,10.9,0.197,0.261,0.299,0.56,16,0,0,87.3,34.2,3.5,4.75,25.6,110.0,BAL,ALE,AL,False,False,False,False,False,False,False,False,False,False,False,False,False
