name,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_caught_stealing,r_total_stolen_base,exit_velocity_avg,sweet_spot_percent,barrel_batted_rate,hp_to_1b,sprint_speed,team_id,team_name,division,league,avg_220,avg_240,avg_260,avg_280,avg_300,hr_10,hr_20,hr_30,hr_40,sb_05,sb_10,sb_15,sb_20
"Contreras, Willson",575929,2021,29,413,483,98,57,20,0,21,138,52,28.6,10.8,0.237,0.438,0.34,0.778,57,4,5,91.8,30.1,11.1,4.43,27.6,112.0,CHC,NLC,NL,True,False,False,False,False,True,True,False,False,True,False,False,False
"Iglesias, Jose",578428,2021,31,483,511,131,93,27,2,9,75,21,14.7,4.1,0.271,0.391,0.309,0.7,48,2,5,85.4,35.5,3.4,4.21,28.3,111.0,BOS,ALE,AL,True,True,True,False,False,False,False,False,False,True,False,False,False
"Torreyes, Ronald",591720,2021,28,318,344,77,59,10,1,7,41,19,11.9,5.5,0.242,0.346,0.286,0.632,41,1,2,82.2,30.4,0.4,4.45,26.9,143.0,PHI,NLE,NL,True,True,False,False,False,False,False,False,False,False,False,False,False
"Valera, Breyvic",591971,2021,29,87,97,22,15,6,0,1,12,8,12.4,8.2,0.253,0.356,0.313,0.669,15,0,1,86.0,33.8,0.0,,26.9,141.0,TOR,ALE,AL,True,True,False,False,False,False,False,False,False,False,False,False,False
"Bryant, Kris",592178,2021,29,513,586,136,77,32,2,25,135,62,23.0,10.6,0.265,0.481,0.353,0.834,73,2,10,88.2,37.1,10.3,4.38,27.9,137.0,SF,NLW,NL,True,True,True,False,False,True,True,False,False,True,True,False,False
"Canha, Mark",592192,2021,32,519,625,120,77,22,4,17,128,77,20.5,12.3,0.231,0.387,0.358,0.745,61,2,12,87.3,36.1,7.1,4.41,27.8,133.0,OAK,ALW,AL,True,False,False,False,False,True,False,False,False,True,True,False,False
"Casali, Curt",592200,2021,32,200,231,42,25,11,1,5,66,26,28.6,11.3,0.21,0.35,0.313,0.663,26,0,0,86.4,35.6,5.9,4.89,24.9,137.0,SF,NLW,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Castellanos, Nick",592206,2021,29,531,585,164,91,38,1,34,121,41,20.7,7.0,0.309,0.576,0.362,0.938,100,1,3,89.8,44.0,10.6,4.42,27.6,113.0,CIN,NLC,NL,True,True,True,True,True,True,True,True,False,False,False,False,False
"DeShields, Delino",592261,2021,28,47,58,12,6,5,0,1,11,9,19.0,15.5,0.255,0.426,0.375,0.801,6,1,2,88.2,31.6,7.9,,28.3,113.0,CIN,NLC,NL,True,True,False,False,False,False,False,False,False,False,False,False,False
"Drury, Brandon",592273,2021,28,84,88,23,14,5,0,4,22,3,25.0,3.4,0.274,0.476,0.307,0.783,14,0,0,89.7,24.2,6.5,4.61,26.4,121.0,NYM,NLE,NL,True,True,True,False,False,False,False,False,False,False,False,False,False
