"name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_run","xba","xslg","xobp","avg_swing_speed","squared_up_contact","squared_up_swing","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","n_outs_above_average","n_bolts","sprint_speed"
"Parra, Gerardo","467827","2021","34","97","107","23","16","5","0","2","30","6",".237",".351",".292","0.643","10","13",".213",".297",".271",,,,"87.5","15.7",36.2,"1",1.4,"-2",,"26.1"
"Carrasco, Carlos","471911","2021","34","15","19","0","0","0","0","0","10","0",".000",".000",".000","0.000","0","0",".068",".079",".068",,,,"84.5","-13.8",0,"0",0,,,
"Anderson, Brett","474463","2021","33","28","34","0","0","0","0","0","14","4",".000",".000",".125","0.125","1","2",".078",".084",".193",,,,"71","-0.7",18.8,"0",0,,,
"Mercer, Jordy","474568","2021","34","118","127","30","21","7","0","2","34","9",".254",".364",".307","0.671","9","13",".239",".351",".293",,,,"86.7","13.2",42.9,"3",3.6,,,"26.5"
"Belt, Brandon","474832","2021","33","325","381","89","44","14","2","29","103","48",".274",".597",".378","0.975","59","65",".243",".525",".354",,,,"89.2","23",35.9,"38",17,,,"25.6"
"Zimmerman, Ryan","475582","2021","36","255","273","62","32","16","0","14","77","16",".243",".471",".286","0.757","46","27",".232",".418",".277",,,,"91.3","7.4",32.2,"19",10.6,,,"26.6"
"Lowrie, Jed","476704","2021","37","457","512","112","70","28","0","14","108","49",".245",".398",".318","0.716","69","55",".259",".464",".332",,,,"90.7","16.4",36.5,"33",9.3,,,"25.3"
"Kershaw, Clayton","477132","2021","33","36","39","8","8","0","0","0","11","1",".222",".222",".243","0.465","3","2",".214",".243",".235",,,,"79.6","-8.3",33.3,"0",0,,,"23.0"
"Avila, Alex","488671","2021","34","89","111","17","6","9","1","1","37","19",".191",".348",".345","0.693","9","5",".176",".316",".333",,,,"88.6","10.8",39.6,"6",11.3,,,"24.2"
"Brantley Jr., Michael","488726","2021","34","469","508","146","106","29","3","8","53","33",".311",".437",".362","0.799","47","68",".312",".466",".365",,,,"89.5","9.9",38.8,"24",5.8,"-2",,"25.7"
"Castro, Jason","488771","2021","34","149","179","35","20","7","0","8","54","25",".235",".443",".356","0.799","21","22",".257",".503",".375",,,,"90.5","14.5",43.3,"14",14.4,,,"26.6"
"Miley, Wade","489119","2021","34","54","59","10","7","3","0","0","13","3",".185",".241",".228","0.469","3","9",".219",".266",".260",,,,"86.2","1.7",27.9,"0",0,,,"23.8"
"Gurriel Jr., Yuli","493329","2021","37","530","605","169","123","31","0","15","68","59",".319",".462",".383","0.845","81","83",".271",".386",".347",,,,"89.8","13.4",31,"16",3.4,,,"27.0"
"Campbell, Eric","493472","2021","34","11","12","3","3","0","0","0","1","1",".273",".273",".333","0.606","0","1",".255",".374",".317",,,,"83.9","13.7",40,"0",0,,,"25.7"
"Rojas, Miguel","500743","2021","32","495","539","131","89","30","3","9","74","37",".265",".392",".322","0.714","48","66",".249",".345",".308",,,,"86.2","11.5",32.4,"12",2.8,,,"26.6"
"Escobar, Eduardo","500871","2021","32","549","599","139","80","26","5","28","124","48",".253",".472",".314","0.786","90","77",".249",".453",".310",,,,"87","20.8",38,"38",8.9,,,"27.4"
"Adrianza, Ehire","501303","2021","31","182","209","45","29","9","2","5","42","21",".247",".401",".327","0.728","28","32",".249",".370",".332",,,,"85.4","13.4",36.1,"4",2.8,"-1",,"26.9"
"Lagares, Juan","501571","2021","32","309","327","73","45","20","2","6","76","12",".236",".372",".266","0.638","38","39",".244",".373",".274",,,,"90.6","8.8",34.9,"16",6.7,"0",,"28.2"
"Almonte, Abraham","501659","2021","32","148","175","32","15","12","0","5","38","26",".216",".399",".331","0.730","19","20",".228",".358",".344",,,,"89.3","10.5",32.4,"8",7.2,"-3",,"27.8"
"Davis, Khris","501981","2021","33","102","114","21","12","5","1","3","31","10",".206",".363",".272","0.635","10","11",".217",".412",".291",,,,"89.9","13.6",30.1,"8",11,,,"25.6"
"Gibson, Kyle","502043","2021","33","29","30","4","3","0","0","1","10","0",".138",".241",".138","0.379","2","3",".132",".175",".132",,,,"84.3","-10.6",10,"1",5,,,"24.7"
"Pham, Tommy","502054","2021","33","475","561","109","68","24","2","15","128","78",".229",".383",".340","0.723","49","74",".253",".438",".362",,,,"90.8","7.6",35.6,"35",10,"-6",,"27.8"
"Martinez, J.D.","502110","2021","33","570","634","163","90","42","3","28","150","55",".286",".518",".349","0.867","99","92",".288",".533",".352",,,,"92.1","16.9",41.2,"53",12.5,"-2",,"26.1"
