"name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_run","xba","xslg","xobp","avg_swing_speed","squared_up_contact","squared_up_swing","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","n_outs_above_average","n_bolts","sprint_speed"
"Arcia, Orlando","606115","2023","28","488","533","129","87","25","0","17","102","39",".264",".420",".321","0.741","65","66",".247",".398",".306",,,,"88.2","5.4",30.6,"27",6.9,,,"25.9"
"Tapia, Raimel","606132","2023","29","148","169","35","27","4","1","3","40","17",".236",".338",".317","0.655","13","28",".224",".338",".311",,,,"85.4","1.6",31.8,"7",6.4,"-2","8","28.7"
"Hernández, Teoscar","606192","2023","30","625","678","161","104","29","2","26","211","38",".258",".435",".305","0.740","93","70",".258",".476",".308",,,,"91.3","12.3",35.2,"58",13.8,"0","5","28.6"
"Marte, Ketel","606466","2023","29","569","650","157","97","26","9","25","109","71",".276",".485",".358","0.843","82","94",".266",".427",".353",,,,"91.1","10.7",30.8,"37",8,,"3","27.7"
"Haase, Eric","606992","2023","30","274","293","55","42","8","1","4","81","17",".201",".281",".247","0.528","26","22",".217",".309",".263",,,,"87.1","13.4",29.2,"9",4.6,"-2",,"28.0"
"Nimmo, Brandon","607043","2023","30","592","682","162","102","30","6","24","146","74",".274",".466",".363","0.829","68","89",".261",".453",".353",,,,"91.8","12.2",33.5,"43",9.5,"1","2","28.0"
"Peterson, Jace","607054","2023","33","374","430","79","59","10","4","6","101","47",".211",".307",".304","0.611","37","35",".216",".332",".309",,,,"85.7","14.4",33.5,"13",4.7,,,"28.0"
"Turner, Trea","607208","2023","30","639","691","170","104","35","5","26","150","45",".266",".459",".320","0.779","76","102",".266",".447",".320",,,,"89.9","13",36.1,"41",8.4,,"115","30.3"
"Beaty, Matt","607461","2023","30","61","72","14","10","4","0","0","14","6",".230",".295",".347","0.642","4","8",".198",".249",".321",,,,"82.3","7.5",34,"0",0,,,"25.5"
"Pillar, Kevin","607680","2023","34","197","206","45","26","10","0","9","50","6",".228",".416",".248","0.664","32","29",".255",".418",".274",,,,"87.9","17.8",39.3,"12",8,"3","1","28.2"
"Stallings, Jacob","607732","2023","33","241","276","46","29","14","0","3","67","27",".191",".286",".278","0.564","20","22",".193",".302",".281",,,,"89.7","9.1",28.5,"10",5.6,,,"23.6"
"Ramírez, José","608070","2023","30","611","691","172","107","36","5","24","73","73",".282",".475",".356","0.831","80","87",".299",".480",".373",,,,"90","18",36.8,"38",7,,,"27.8"
"Bregman, Alex","608324","2023","29","622","724","163","106","28","4","25","87","92",".262",".441",".363","0.804","98","103",".266",".430",".368",,,,"88.6","17.6",35.8,"29",5.4,,,"26.3"
"Gallo, Joey","608336","2023","29","282","332","50","19","9","1","21","142","48",".177",".440",".301","0.741","40","39",".149",".399",".277",,,,"93","26.4",28.6,"27",19.3,"-2",,"26.6"
"Kelly, Carson","608348","2023","28","136","151","28","21","5","0","2","40","14",".206",".287",".278","0.565","13","13",".185",".279",".262",,,,"86.8","15.6",27.8,"2",2.1,,,"25.7"
"Seager, Corey","608369","2023","29","477","536","156","81","42","0","33","88","49",".327",".623",".390","1.013","96","88",".314",".612",".381",,,,"93.3","13",38,"60",15.2,,,"26.2"
"Winker, Jesse","608385","2023","29","166","197","33","27","5","0","1","51","26",".199",".247",".320","0.567","23","16",".204",".296",".325",,,,"86.8","13.6",33.6,"5",4.3,,,"23.5"
"Murphy, Tom","608596","2023","32","145","159","42","22","12","0","8","44","10",".290",".538",".335","0.873","17","19",".261",".498",".315",,,,"89.5","13.7",40.8,"15",14.6,,,"26.0"
"Jankowski, Travis","608671","2023","32","247","287","65","51","12","1","1","42","35",".263",".332",".357","0.689","30","34",".254",".310",".349",,,,"85.4","8.1",28.8,"0",0,"5","22","29.0"
"Refsnyder, Rob","608701","2023","32","202","243","50","39","9","1","1","47","33",".248",".317",".365","0.682","28","31",".261",".384",".378",,,,"87.7","11.9",42,"6",3.8,"-3",,"27.1"
"Meneses, Joey","608841","2023","31","611","657","168","118","36","1","13","130","38",".275",".401",".321","0.722","89","71",".247",".361",".295",,,,"89.4","9.4",32.9,"26",5.4,,,"25.6"
"Andujar, Miguel","609280","2023","28","84","90","21","10","7","0","4","13","6",".250",".476",".300","0.776","18","9",".264",".422",".313",,,,"89.2","5.3",28.2,"5",7,"-1",,"27.7"
"Vosler, Jason","613564","2023","29","62","65","10","4","2","1","3","25","3",".161",".371",".200","0.571","10","6",".151",".294",".190",,,,"86","25.8",29.7,"3",8.1,,,"26.0"
"Cordero, Franchy","614173","2023","28","69","71","13","5","2","0","6","25","2",".188",".478",".211","0.689","13","9",".217",".440",".240",,,,"91.4","8.8",31.8,"7",15.9,"-2",,"27.4"
"Reyes, Franmil","614177","2023","27","59","65","11","9","0","0","2","24","4",".186",".288",".231","0.519","7","5",".176",".340",".233",,,,"93","-2.1",27,"6",16.2,,,"26.5"
"Torrens, Luis","620443","2023","27","28","30","7","4","3","0","0","9","1",".250",".357",".300","0.657","4","1",".237",".310",".288",,,,"86.9","22.8",47.4,"0",0,,,"26.3"
"Swanson, Dansby","621020","2023","29","565","638","138","88","25","3","22","154","66",".244",".416",".328","0.744","80","81",".255",".458",".338",,,,"89.3","13",35.1,"45",10.9,,"9","28.4"
"Newman, Kevin","621028","2023","29","225","253","57","38","16","0","3","34","17",".253",".364",".311","0.675","28","28",".272",".374",".331",,,,"86.5","12",35.4,"5",2.5,,,"28.0"
"Taylor, Chris","621035","2023","32","338","384","80","49","15","1","15","125","41",".237",".420",".326","0.746","56","51",".222",".402",".312",,,,"86.2","21.5",38.8,"21",9.8,"-1",,"28.3"
"Correa, Carlos","621043","2023","28","514","580","118","69","29","2","18","131","59",".230",".399",".312","0.711","65","60",".253",".421",".335",,,,"90.4","10.6",31.1,"37",9.6,,,"26.6"
"Phillips, Brett","621433","2023","29","63","71","11","7","1","0","3","36","8",".175",".333",".268","0.601","6","9",".149",".271",".245",,,,"86.7","18.2",29.6,"2",7.4,"0",,"28.1"
"Taylor, Tyrone","621438","2023","29","231","243","54","26","17","1","10","55","8",".234",".446",".267","0.713","35","36",".246",".426",".280",,,,"87.7","18.2",33.9,"12",6.8,"2","3","28.8"
"Buxton, Byron","621439","2023","29","304","347","63","28","17","1","17","109","35",".207",".438",".294","0.732","42","49",".212",".425",".303",,,,"91.5","20.1",33.2,"29",14.6,,"19","29.3"
"Rios, Edwin","621458","2023","29","28","34","2","0","1","0","1","16","5",".071",".214",".235","0.449","2","3",".154",".274",".304",,,,"89.5","20.9",50,"1",8.3,,,
"Stewart, DJ","621466","2023","29","160","185","39","19","9","0","11","56","15",".244",".506",".333","0.839","26","21",".232",".462",".324",,,,"89.9","16.5",34,"13",12.3,"-2",,"26.3"
"Ward, Taylor","621493","2023","29","356","409","90","58","18","0","14","80","39",".253",".421",".335","0.756","47","60",".254",".430",".341",,,,"90.7","14.3",34,"23",8.2,"3","4","28.0"
"Nido, Tomás","621512","2023","29","56","61","7","7","0","0","0","18","2",".125",".125",".153","0.278","1","5",".156",".196",".183",,,,"85","5.7",26.8,"0",0,,,"24.8"
"Bemboom, Anthony","621532","2023","33","11","13","2","2","0","0","0","2","2",".182",".182",".308","0.490","0","0",".125",".156",".260",,,,"79.9","18.3",0,"0",0,,,"25.8"
"Remillard, Zach","621545","2023","29","147","160","37","29","7","0","1","48","8",".252",".320",".295","0.615","18","16",".200",".244",".246",,,,"85.7","11.9",23.3,"1",1,,,"28.4"
"Wisdom, Patrick","621550","2023","31","268","302","55","23","8","1","23","111","30",".205",".500",".289","0.789","46","43",".218",".498",".300",,,,"92.7","21.7",33.3,"32",20.1,,,"27.7"
"Wendle, Joey","621563","2023","33","297","318","63","42","16","3","2","67","13",".212",".306",".248","0.554","20","33",".233",".326",".270",,,,"89.2","3.8",31.8,"8",3.4,,,"27.8"
"Olson, Matt","621566","2023","29","608","720","172","88","27","3","54","167","104",".283",".604",".389","0.993","139","127",".264",".558",".374",,,,"93.7","16.1",31,"73",16.4,,,"26.2"
"Duffy, Matt","622110","2023","32","191","209","48","38","8","0","2","39","12",".251",".325",".306","0.631","16","17",".269",".347",".323",,,,"86.4","8.8",35.7,"4",2.6,,,"27.0"
"Margot, Manuel","622534","2023","28","311","336","82","56","21","1","4","55","18",".264",".376",".310","0.686","38","39",".262",".368",".311",,,,"87.9","10.5",28.6,"10",3.9,"3","1","28.3"
"Reyes, Pablo","622569","2023","29","167","185","48","37","9","0","2","21","14",".287",".377",".339","0.716","20","27",".265",".393",".319",,,,"88.1","14.7",34,"6",4,,,"27.9"
"Camargo, Johan","622666","2023","29","18","20","4","4","0","0","0","4","1",".222",".222",".300","0.522","2","0",".357",".404",".421",,,,"90","1.1",42.9,"0",0,,,"24.2"
"Mateo, Jorge","622761","2023","28","318","350","69","46","14","2","7","82","22",".217",".340",".267","0.607","34","58",".240",".371",".290",,,,"88.4","10.4",28.3,"13",5.3,,"50","30.1"
"Heineman, Tyler","623168","2023","32","38","47","9","7","1","1","0","8","8",".237",".316",".383","0.699","3","5",".254",".311",".397",,,,"82.1","21.9",36.7,"0",0,,,"25.7"
"Velazquez, Andrew","623205","2023","28","81","94","14","9","3","0","2","30","10",".173",".284",".264","0.548","3","12",".146",".231",".245",,,,"87.7","8.9",27.8,"2",3.7,,"7","28.4"
"Lester, Josh","623507","2023","28","22","23","4","4","0","0","0","7","1",".182",".182",".217","0.399","4","0",".199",".244",".234",,,,"85.9","-1.6",26.7,"0",0,,,"25.9"
"Ramírez, Harold","623912","2023","28","400","434","125","92","19","2","12","79","22",".313",".460",".353","0.813","68","58",".271",".413",".318",,,,"89.1","6.1",29.4,"15",4.6,"-2",,"27.8"
"Santander, Anthony","623993","2023","28","591","656","152","82","41","1","28","152","55",".257",".472",".325","0.797","95","81",".237",".426",".309",,,,"90.6","20.2",33,"45",10.2,"-1",,"26.7"
"Alonso, Pete","624413","2023","28","568","658","123","54","21","2","46","151","65",".217",".504",".318","0.822","118","92",".246",".527",".343",,,,"89.5","18.2",32.3,"62",14.7,,,"26.0"
"Arroyo, Christian","624414","2023","28","195","206","47","28","16","0","3","45","7",".241",".369",".268","0.637","24","23",".236",".349",".269",,,,"86.3","11.1",35.9,"7",4.6,,,"27.7"
"Biggio, Cavan","624415","2023","28","289","338","68","47","12","0","9","88","40",".235",".370",".340","0.710","40","54",".226",".370",".333",,,,"88.4","15.7",41.4,"15",7.4,"1",,"28.3"
"Conforto, Michael","624424","2023","30","406","470","97","68","14","0","15","106","53",".239",".384",".334","0.718","58","58",".245",".416",".341",,,,"88.9","11.9",31.9,"24",7.9,"-3",,"26.1"
"Frazier, Adam","624428","2023","31","412","455","99","63","21","2","13","68","32",".240",".396",".300","0.696","60","59",".261",".361",".319",,,,"85.7","15.2",40.9,"11",3.1,,,"26.5"
"Trevino, Jose","624431","2023","30","157","168","33","25","4","0","4","22","8",".210",".312",".257","0.569","15","15",".245",".344",".290",,,,"85.8","9.6",30.9,"4",2.9,,,"24.4"
"Gordon, Nick","624503","2023","27","91","93","16","8","5","1","2","11","1",".176",".319",".185","0.504","7","13",".251",".428",".259",,,,"89.1","9.2",34.6,"4",4.9,"0",,"27.4"
"McGuire, Reese","624512","2023","28","187","206","50","36","12","1","1","53","11",".267",".358",".310","0.668","16","15",".207",".281",".256",,,,"84","2.8",33.6,"4",2.9,,,"25.9"
"Soler, Jorge","624585","2023","31","504","580","126","66","24","0","36","141","66",".250",".512",".341","0.853","75","77",".262",".532",".354",,,,"91.3","17.8",36.5,"55",15,"-3",,"26.6"
"Sosa, Edmundo","624641","2023","27","279","300","70","43","15","2","10","74","8",".251",".427",".293","0.720","30","34",".238",".392",".281",,,,"86.8","13.8",34.1,"14",6.7,,"15","29.2"
"Ibáñez, Andy","628451","2023","30","356","383","94","58","23","2","11","69","24",".264",".433",".312","0.745","41","42",".271",".446",".320",,,,"89.1","12.9",33.2,"26",9,"0",,"27.2"
"Cronenworth, Jake","630105","2023","29","458","522","105","64","24","7","10","97","46",".229",".378",".312","0.690","48","54",".238",".370",".321",,,,"87.4","15.2",35.7,"16",4.4,,"1","28.3"
"Frazier, Clint","640449","2023","28","66","76","13","11","1","1","0","23","10",".197",".242",".303","0.545","3","10",".190",".246",".297",,,,"82.5","11.4",37.2,"0",0,"-3",,"27.7"
"Meadows, Austin","640457","2023","28","21","21","5","4","1","0","0","3","0",".238",".286",".238","0.524","2","0",".229",".275",".229",,,,"90.5","16.7",22.2,"0",0,,,"26.0"
"Mercado, Óscar","640458","2023","28","31","32","9","6","3","0","0","4","1",".290",".387",".313","0.700","5","3",".271",".327",".293",,,,"85.5","22.8",29.6,"0",0,"-1",,"28.0"
"Azocar, José","640492","2023","27","91","102","21","13","6","0","2","24","4",".231",".363",".278","0.641","9","16",".260",".390",".305",,,,"87","12.5",31.9,"5",6.9,"0","12","29.6"
"Anderson, Tim","641313","2023","30","493","524","121","100","18","2","1","122","26",".245",".296",".286","0.582","25","52",".252",".335",".295",,,,"87.8","2",32.4,"11",2.9,,"11","27.2"
"Bauers, Jake","641343","2023","27","242","272","49","22","15","0","12","95","27",".202",".413",".279","0.692","30","28",".230",".480",".306",,,,"89.1","13.8",36,"28",18.7,"-4",,"27.3"
"Bellinger, Cody","641355","2023","27","499","556","153","97","29","1","26","87","40",".307",".525",".356","0.881","97","95",".268",".434",".326",,,,"87.9","17.2",38,"26",6.1,"2","1","28.3"
"Calhoun, Willie","641432","2023","28","134","149","32","20","7","0","5","20","14",".239",".403",".309","0.712","16","16",".260",".371",".328",,,,"90.7","11.9",35.7,"4",3.5,,,"25.1"
"Crawford, J.P.","641487","2023","28","534","638","142","88","35","0","19","125","94",".266",".438",".380","0.818","65","94",".260",".384",".375",,,,"88.3","15.1",35.3,"20",4.8,,,"26.7"
"Davis, Jonathan","641505","2023","31","90","104","22","15","4","1","2","29","7",".244",".378",".307","0.685","10","22",".247",".346",".310",,,,"84.4","7.1",35.4,"3",4.6,"1","1","28.9"
"Delay, Jason","641511","2023","28","167","187","42","29","11","1","1","44","14",".251",".347",".319","0.666","18","20",".213",".298",".285",,,,"83.8","12.3",34.9,"4",3.2,,,"26.4"
"Dixon, Brandon","641525","2023","31","79","86","16","10","4","0","2","31","1",".203",".329",".244","0.573","9","10",".185",".302",".234",,,,"87","16.5",32,"4",8,,"2","28.4"
"Dozier, Hunter","641531","2023","31","82","91","15","10","2","1","2","29","8",".183",".305",".253","0.558","9","8",".183",".283",".253",,,,"84.4","12.3",29.6,"2",3.7,,,"28.3"
"Fraley, Jake","641584","2023","28","336","380","86","53","18","0","15","71","37",".256",".443",".339","0.782","65","41",".261",".402",".345",,,,"84.6","16.5",38,"17",6.4,"2",,"28.0"
"Garver, Mitch","641598","2023","32","296","344","80","50","11","0","19","82","44",".270",".500",".370","0.870","50","45",".255",".493",".357",,,,"90","20.5",35.5,"27",12.6,,,"25.7"
"Guillorme, Luis","641645","2023","28","107","120","24","16","6","1","1","28","10",".224",".327",".288","0.615","9","12",".193",".262",".263",,,,"85.9","11.8",31.7,"1",1.2,,,"25.5"
"Hampson, Garrett","641658","2023","28","221","252","61","45","12","1","3","67","23",".276",".380",".349","0.729","23","30",".239",".329",".318",,,,"86.6","11.8",37.1,"5",3.1,"-1","32","29.8"
"Heim, Jonah","641680","2023","28","457","501","118","72","28","0","18","96","40",".258",".438",".317","0.755","95","61",".256",".435",".318",,,,"89.2","17.3",34.3,"29",8,,,"25.8"
"Lewis, Kyle","641786","2023","27","51","54","8","5","2","0","1","21","3",".157",".255",".204","0.459","2","2",".182",".265",".228",,,,"89.1","23.6",26.7,"2",6.7,,,"25.8"
"Locastro, Tim","641796","2023","30","56","67","13","8","3","0","2","22","3",".232",".393",".338","0.731","3","13",".220",".367",".328",,,,"83.3","22.2",30.6,"3",8.3,"1","6","29.2"
"Mancini III, Trey","641820","2023","31","235","263","55","39","12","0","4","78","21",".234",".336",".299","0.635","28","31",".213",".329",".283",,,,"88.9","12.3",32.5,"6",3.8,,,"25.4"
"McKinney, Billy","641856","2023","28","128","147","29","19","3","1","6","39","17",".227",".406",".320","0.726","14","19",".242",".471",".335",,,,"89.1","12.2",43.3,"11",12.2,"-1",,"27.1"
"McMahon, Ryan","641857","2023","28","555","627","133","76","31","3","23","198","68",".240",".431",".322","0.753","70","80",".245",".445",".328",,,,"90.8","9.7",39.4,"41",11.4,,,"25.8"
"O'Neill, Tyler","641933","2023","28","238","266","55","32","14","0","9","67","28",".231",".403",".312","0.715","21","27",".246",".445",".326",,,,"89.2","15",29.2,"21",12.3,"0","5","28.5"
"Palacios, Joshua","641943","2023","27","247","264","59","38","9","2","10","56","12",".239",".413",".279","0.692","40","26",".259",".438",".299",,,,"91.3","7.7",30.9,"19",9.8,"0",,"28.2"
"Smith, Dominic","642086","2023","28","527","586","134","100","21","1","12","91","47",".254",".366",".326","0.692","46","57",".256",".397",".329",,,,"86.3","12.8",37,"29",6.6,,,"25.8"
"Tellez, Rowdy","642133","2023","28","311","351","67","44","9","1","13","86","35",".215",".376",".291","0.667","47","26",".238",".374",".315",,,,"89.9","15.2",35.7,"20",8.7,,,"23.5"
"Thaiss, Matt","642136","2023","28","262","307","56","41","6","0","9","83","36",".214",".340",".319","0.659","31","32",".232",".408",".338",,,,"88.5","9.2",34.6,"19",10.4,,,"24.7"
"Thomas, Cody","642137","2023","28","42","46","10","6","3","0","1","17","4",".238",".381",".304","0.685","2","1",".156",".227",".229",,,,"86.5","12.3",20,"1",4,"1",,"28.3"
"Wade, Tyler","642180","2023","28","51","55","13","11","1","1","0","13","4",".255",".314",".309","0.623","2","8",".215",".272",".272",,,,"85.3","8.6",21.1,"0",0,,"2","28.9"
"White, Eli","642201","2023","29","14","17","1","1","0","0","0","7","2",".071",".071",".235","0.306","0","1",".204",".285",".344",,,,"90","8.9",57.1,"0",0,,,
"Wilson, Weston","642215","2023","28","16","22","5","4","0","0","1","5","6",".313",".500",".500","1.000","2","5",".284",".507",".479",,,,"84.6","6.1",36.4,"1",9.1,,,"27.2"
"Mejía, Francisco","642336","2023","27","150","160","34","18","11","0","5","38","6",".227",".400",".258","0.658","19","22",".204",".319",".238",,,,"87.5","18.9",33,"5",4.3,,,"26.3"
"Siri, Jose","642350","2023","27","338","364","75","35","13","2","25","130","20",".222",".494",".267","0.761","56","58",".212",".442",".259",,,,"88.4","14.4",33,"28",13.2,"9","31","29.7"
"Rosario, Amed","642708","2023","27","510","545","134","95","25","8","6","99","29",".263",".378",".305","0.683","58","70",".271",".380",".314",,,,"88.3","7.6",33.8,"14",3.4,,"42","29.4"
"Adames, Willy","642715","2023","27","553","638","120","65","29","2","24","165","71",".217",".407",".310","0.717","80","73",".240",".436",".332",,,,"87.4","18.2",35,"49",12.4,,,"27.6"
"Estrada, Thairo","642731","2023","27","495","530","134","92","26","2","14","120","22",".271",".416",".315","0.731","49","63",".248",".371",".296",,,,"85.9","10.8",34.7,"18",4.8,,,"28.1"
"Wynns, Austin","642851","2023","32","130","145","27","20","6","0","1","39","9",".208",".277",".268","0.545","10","11",".183",".247",".245",,,,"86.7","14.4",27.4,"2",2.1,,,"24.7"
"Benintendi, Andrew","643217","2023","28","562","621","147","106","34","2","5","89","52",".262",".356",".326","0.682","45","72",".270",".375",".334",,,,"86.6","14.5",40.9,"14",2.9,"-11",,"27.3"
"Cooper, Garrett","643265","2023","32","422","457","106","70","18","1","17","132","31",".251",".419",".304","0.723","61","42",".252",".430",".306",,,,"89","13.3",40.4,"30",10.3,,,"26.3"
"Dubón, Mauricio","643289","2023","28","467","492","130","91","26","3","10","70","19",".278",".411",".309","0.720","46","76",".275",".389",".306",,,,"87","9.5",37,"18",4.5,"5","1","28.1"
"Jansen, Danny","643376","2023","28","268","301","61","29","15","0","17","62","23",".228",".474",".312","0.786","53","38",".219",".421",".305",,,,"88.3","19.7",35.4,"22",10.7,,,"27.1"
"Kemp, Tony","643393","2023","31","359","419","75","54","13","3","5","40","44",".209",".304",".303","0.607","27","42",".241",".321",".332",,,,"86.7","10",31.3,"4",1.2,"-1",,"26.2"
"Kiner-Falefa, Isiah","643396","2023","28","326","361","79","60","12","1","6","70","28",".242",".340",".306","0.646","37","39",".254",".348",".317",,,,"88.8","7.2",33.5,"8",3.1,"-2",,"27.7"
"McNeil, Jeff","643446","2023","31","585","648","158","119","25","4","10","65","39",".270",".378",".333","0.711","55","75",".251",".340",".316",,,,"86","14.4",32.1,"7",1.3,"2","1","27.4"
"Tauchman, Mike","643565","2023","32","337","401","85","59","18","0","8","86","56",".252",".377",".362","0.739","48","64",".267",".400",".375",,,,"88.4","8.1",37.6,"14",5.5,"0",,"27.3"
"Chang, Yu","644374","2023","27","105","112","17","9","2","0","6","34","3",".162",".352",".200","0.552","18","12",".208",".351",".245",,,,"88.8","9.8",31.5,"4",5.5,,,"28.2"
"Tromp, Chadwick","644433","2023","28","16","16","2","1","1","0","0","7","0",".125",".188",".125","0.313","1","1",".150",".205",".150",,,,"90.4","21.7",33.3,"0",0,,,
"Albies, Ozzie","645277","2023","26","596","660","167","99","30","5","33","107","46",".280",".513",".336","0.849","109","96",".266",".467",".325",,,,"88.7","16.6",37.4,"41",8.2,,"1","27.6"
"Robles, Victor","645302","2023","26","107","126","32","26","5","1","0","18","11",".299",".364",".385","0.749","8","15",".266",".355",".356",,,,"86.7","9.9",25.8,"2",2.2,"-3","6","28.0"
"Herrera, Jose","645444","2023","26","101","120","21","16","5","0","0","30","13",".208",".257",".296","0.553","7","15",".209",".259",".300",,,,"85.9","11.3",35.1,"0",0,,,"25.4"
"Ford, Mike","645801","2023","30","219","251","50","28","6","0","16","81","24",".228",".475",".323","0.798","34","32",".202",".416",".301",,,,"88.8","21",33.1,"24",17.3,,,"24.5"
"Devers, Rafael","646240","2023","26","580","656","157","90","34","0","33","126","62",".271",".500",".351","0.851","100","90",".282",".539",".363",,,,"93.1","12.4",30,"58",12.7,,,"26.0"
"Naylor, Josh","647304","2023","26","452","495","139","91","31","0","17","68","33",".308",".489",".354","0.843","97","52",".293",".478",".342",,,,"89.1","12.3",35.5,"32",8.2,,,"25.8"
"Toro, Abraham","647351","2023","26","18","21","8","6","0","0","2","5","2",".444",".778",".524","1.302","9","4",".383",".644",".471",,,,"86.6","11.1",46.2,"2",15.4,,,"26.9"
"Díaz, Aledmys","649557","2023","32","315","344","72","47","20","1","4","66","17",".229",".337",".280","0.617","24","25",".235",".327",".288",,,,"87.8","11.3",27.6,"7",2.8,,,"26.0"
"Urías, Luis","649966","2023","26","144","177","28","19","6","0","3","41","21",".194",".299",".337","0.636","18","18",".182",".311",".327",,,,"84.9","14.7",23.3,"6",5.8,,,"26.0"
"Arraez, Luis","650333","2023","26","574","617","203","160","30","3","10","34","35",".354",".469",".393","0.862","69","71",".329",".458",".371",,,,"88.3","11.5",44.7,"19",3.5,,,"26.1"
"Jiménez, Eloy","650391","2023","26","456","489","124","83","23","0","18","93","30",".272",".441",".317","0.758","64","50",".258",".426",".305",,,,"90.9","5.7",26,"34",9.3,"-1",,"26.5"
"Torres, Gleyber","650402","2023","26","596","672","163","108","28","2","25","98","67",".273",".453",".347","0.800","68","90",".282",".478",".357",,,,"89.7","15.1",37.3,"40",7.9,,,"26.4"
"Castro, Willi","650489","2023","26","358","409","92","60","18","5","9","99","34",".257",".411",".339","0.750","34","60",".231",".361",".316",,,,"86.5","15.1",34.5,"18",6.8,"-2",,"28.6"
"Díaz, Yandy","650490","2023","31","525","600","173","116","35","0","22","94","65",".330",".522",".410","0.932","78","95",".305",".487",".391",,,,"93.4","5.7",30.5,"41",9.5,,,"26.6"
"De La Cruz, Bryan","650559","2023","26","579","626","149","98","32","0","19","142","40",".257",".411",".304","0.715","78","60",".273",".445",".321",,,,"89.9","11.8",41,"39",8.8,"-7",,"27.7"
"Rengifo, Luis","650859","2023","26","394","445","104","69","15","4","16","82","41",".264",".444",".339","0.783","51","55",".246",".403",".327",,,,"89.1","11",29.7,"24",7.6,"0",,"27.4"
"Pinto, René","650907","2023","26","103","105","26","17","3","0","6","34","2",".252",".456",".267","0.723","16","10",".256",".511",".271",,,,"90.5","16.9",44.9,"11",15.9,,,"26.9"
"Monasterio, Andruw","655316","2023","26","282","315","73","55","14","1","3","66","28",".259",".348",".330","0.678","27","38",".248",".373",".322",,,,"88.8","17.7",41.3,"12",5.5,,,"28.0"
"Pérez, Carlos","656024","2023","26","49","53","10","5","4","0","1","11","4",".204",".347",".264","0.611","3","5",".197",".302",".258",,,,"85.1","13.5",28.9,"3",7.9,,,"26.1"
"Adams, Riley","656180","2023","27","143","158","39","20","13","2","4","45","11",".273",".476",".331","0.807","21","8",".224",".350",".287",,,,"89.9","18.1",42,"5",5,,,"26.2"
"Allen, Greg","656185","2023","30","23","28","5","2","1","1","1","10","2",".217",".478",".333","0.811","1","6",".100",".144",".233",,,,"88.3","20.7",28.6,"0",0,"0",,"27.0"
"Bouchard, Sean","656248","2023","27","38","43","12","6","2","0","4","14","4",".316",".684",".372","1.056","7","11",".239",".525",".319",,,,"91","7.8",44,"5",20,"1",,"27.3"
"Chapman, Matt","656305","2023","30","509","581","122","64","39","2","17","165","62",".240",".424",".330","0.754","54","66",".230",".457",".323",,,,"93.4","18.5",32.4,"59",17.1,,"2","28.5"
"Chavis, Michael","656308","2023","27","91","96","22","17","3","0","2","33","5",".242",".341",".281","0.622","5","16",".234",".298",".274",,,,"84.5","8.9",41.4,"1",1.7,,,"28.7"
"Díaz, Isan","656371","2023","27","24","26","1","1","0","0","0","9","2",".042",".042",".115","0.157","1","0",".078",".099",".149",,,,"90.2","17.1",13.3,"0",0,,,"22.0"
"Ellis, Drew","656403","2023","27","23","29","5","3","0","0","2","7","6",".217",".478",".379","0.857","4","4",".211",".488",".374",,,,"90.7","20.2",31.3,"3",18.8,,,"27.2"
"Fairchild, Stuart","656413","2023","27","219","255","50","27","16","2","5","69","25",".228",".388",".321","0.709","28","34",".231",".385",".324",,,,"85.9","14.3",32.3,"12",7.7,"3","2","29.2"
"Garrett, Stone","656448","2023","27","234","271","63","37","17","0","9","82","26",".269",".457",".343","0.800","40","40",".263",".441",".344",,,,"91.1","17.3",37.6,"15",9.6,"0","4","28.5"
"Guthrie, Dalton","656495","2023","27","24","28","4","3","1","0","0","7","3",".167",".208",".286","0.494","0","4",".198",".289",".312",,,,"85.5","25.5",47.1,"0",0,"1",,"28.6"
"Haseley, Adam","656514","2023","27","36","39","8","6","2","0","0","8","3",".222",".278",".282","0.560","2","6",".250",".346",".308",,,,"87.6","8",28.6,"1",3.6,"0",,"27.9"
"Hill, Derek","656537","2023","27","47","50","8","7","1","0","0","11","3",".170",".191",".220","0.411","1","3",".196",".240",".244",,,,"84.1","7",27.8,"0",0,"2","8","29.7"
"Hilliard, Sam","656541","2023","29","72","78","17","9","5","0","3","33","6",".236",".431",".295","0.726","6","15",".204",".369",".265",,,,"92.4","20.3",33.3,"3",7.7,"0",,"28.9"
"Joe, Connor","656582","2023","30","413","472","102","56","31","4","11","110","50",".247",".421",".339","0.760","42","63",".248",".404",".340",,,,"88.9","16.7",37.2,"25",8.2,"1",,"27.1"
"Luplow, Jordan","656669","2023","29","77","90","16","11","3","0","2","27","12",".208",".325",".322","0.647","5","11",".194",".289",".310",,,,"85.4","14.1",24,"3",6,"-1",,"27.6"
"McKinstry, Zach","656716","2023","28","464","518","107","73","21","4","9","113","44",".231",".351",".302","0.653","35","60",".247",".395",".318",,,,"87.2","17.8",37.1,"27",7.6,"0","2","28.5"
"Mullins II, Cedric","656775","2023","28","404","455","94","53","23","3","15","101","43",".233",".416",".305","0.721","74","51",".227",".356",".302",,,,"88.9","21.6",28.1,"20",6.5,"6","1","28.0"
