"name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_total_caught_stealing","r_total_stolen_base","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hp_to_1b","sprint_speed",""
"Thomas, Dillon","605504","2022","29","11","14","1","1","0","0","0","6","2",42.9,14.3,".091",".091",".286","0.377","0","0","0","82.9",0,0,,,
"Zimmer, Bradley","605548","2022","29","105","117","13","6","5","0","2","45","5",38.5,4.3,".124",".229",".207","0.436","5","2","3","87",21.3,11.5,"4.23","29.2",
"Castro, Harold","605612","2022","28","420","443","114","84","21","2","7","79","17",17.8,3.8,".271",".381",".300","0.681","47","1","0","87",41.6,6.1,"4.51","26.2",
"Quiroz, Esteban","606019","2022","30","40","47","11","11","0","0","0","9","4",19.1,8.5,".275",".275",".370","0.645","3","1","1","81.6",43.8,3.1,,"25.0",
"Arcia, Orlando","606115","2022","27","209","234","51","33","9","0","9","51","21",21.8,9,".244",".416",".316","0.732","30","0","0","90.7",30,7.5,"4.7","26.4",
"Tapia, Raimel","606132","2022","28","411","433","109","79","20","3","7","81","16",18.7,3.7,".265",".380",".292","0.672","52","2","8","87.6",27.5,5.1,"4.27","28.2",
"Aquino, Aristides","606157","2022","28","259","276","51","28","13","0","10","101","17",36.6,6.2,".197",".363",".246","0.609","30","3","2","85.6",27.2,8.2,"4.42","28.8",
"Hernandez, Teoscar","606192","2022","29","499","535","133","72","35","1","25","152","34",28.4,6.4,".267",".491",".316","0.807","77","3","6","92.6",36.3,15,"4.33","28.6",
"Mercedes, Yermin","606213","2022","29","73","83","17","11","5","0","1","17","9",20.5,10.8,".233",".342",".325","0.667","8","0","0","87.5",42.9,7.1,,"25.9",
"Marte, Ketel","606466","2022","28","492","558","118","62","42","2","12","101","55",18.1,9.9,".240",".407",".321","0.728","52","1","5","90.1",31.6,6.1,"4.46","27.0",
"Haase, Eric","606992","2022","29","323","351","82","50","17","1","14","97","24",27.6,6.8,".254",".443",".305","0.748","44","0","0","87.7",32.3,8.7,"4.5","27.9",
"Hager, Jake","606993","2022","29","50","59","12","10","2","0","0","17","8",28.8,13.6,".240",".280",".345","0.625","3","0","0","80.8",32.4,5.9,"4.61","27.2",
"Nimmo, Brandon","607043","2022","29","580","673","159","106","30","7","16","116","71",17.2,10.5,".274",".433",".367","0.800","64","2","3","89.4",28.1,7,"4.18","28.7",
"Peterson, Jace","607054","2022","32","288","328","68","44","14","2","8","85","33",25.9,10.1,".236",".382",".316","0.698","34","1","12","88.6",33.7,7.2,"4.25","28.5",
"Turner, Trea","607208","2022","29","652","708","194","130","39","4","21","131","45",18.5,6.4,".298",".466",".343","0.809","100","3","27","88.9",35.3,7.6,"4.14","30.3",
"Krizan, Jason","607249","2022","33","8","10","1","1","0","0","0","3","2",30,20,".125",".125",".300","0.425","0","0","0","94.5",40,0,,,
"Beaty, Matt","607461","2022","29","43","47","4","2","1","1","0","8","2",17,4.3,".093",".163",".170","0.333","1","0","0","83.6",22.9,0,,"26.8",
"Pillar, Kevin","607680","2022","33","12","13","1","0","1","0","0","4","1",30.8,7.7,".083",".167",".154","0.321","0","0","0","88.2",25,12.5,,"27.1",
"Stallings, Jacob","607732","2022","32","346","384","77","61","12","0","4","83","29",21.6,7.6,".223",".292",".292","0.584","34","1","0","86.7",33.5,3.4,"5.04","23.7",
"Ramirez, Jose","608070","2022","29","601","685","168","90","44","5","29","82","69",12,10.1,".280",".514",".355","0.869","126","7","20","87.7",33.7,6.6,"4.22","28.5",
"Bregman, Alex","608324","2022","28","548","656","142","81","38","0","23","77","87",11.7,13.3,".259",".454",".366","0.820","93","2","1","88.9",36.2,7.3,"4.6","26.6",
"Gallo, Joey","608336","2022","28","350","410","56","27","8","2","19","163","56",39.8,13.7,".160",".357",".280","0.637","47","0","3","89.6",29.3,17.6,"4.58","27.2",
"Kelly, Carson","608348","2022","27","317","354","67","42","18","0","7","71","29",20.1,8.2,".211",".334",".282","0.616","35","0","2","87.7",33.2,5.2,"4.82","25.7",
"Okey, Chris","608360","2022","27","12","13","2","2","0","0","0","5","0",38.5,0,".167",".167",".231","0.398","0","0","0","86.2",14.3,0,,,
"Seager, Corey","608369","2022","28","593","663","145","87","24","1","33","103","58",15.5,8.7,".245",".455",".317","0.772","83","0","3","91.1",38.4,10.5,"4.67","26.2",
"Winker, Jesse","608385","2022","28","456","547","100","71","15","0","14","103","84",18.8,15.4,".219",".344",".344","0.688","53","0","0","87.7",32,7.6,"4.67","25.4",
"Godoy, Jose","608422","2022","27","20","22","1","1","0","0","0","9","2",40.9,9.1,".050",".050",".136","0.186","1","0","0","78",27.3,0,,"25.3",
"Mazara, Nomar","608577","2022","27","159","171","42","32","8","0","2","40","10",23.4,5.8,".264",".352",".316","0.668","18","0","0","86.1",35.3,4.2,"4.57","26.3",
"Murphy, Tom","608596","2022","31","33","42","10","7","2","0","1","13","8",31,19,".303",".455",".439","0.894","1","0","0","94.3",45,20,,"26.7",
"Jankowski, Travis","608671","2022","31","55","64","9","9","0","0","0","10","8",15.6,12.5,".164",".164",".281","0.445","2","0","3","80.5",22.2,0,"4.18","29.1",
"Mayfield, Jack","608686","2022","31","70","74","13","10","1","1","1","17","3",23,4.1,".186",".271",".230","0.501","6","0","1","84.5",24.5,1.9,"4.42","27.3",
"Plawecki, Kevin","608700","2022","31","168","186","37","28","8","0","1","32","14",17.2,7.5,".220",".286",".286","0.572","13","0","0","89.3",28.3,0,"4.92","24.8",
"Refsnyder, Rob","608701","2022","31","153","177","47","30","11","0","6","46","15",26,8.5,".307",".497",".384","0.881","21","1","1","89.9",49.1,10.9,"4.47","27.1",
"Reynolds, Matt","608703","2022","31","244","272","60","46","10","1","3","78","26",28.7,9.6,".246",".332",".320","0.652","23","0","5","90.2",36.5,3,"4.58","27.4",
"Meneses, Joey","608841","2022","30","222","240","72","45","14","0","13","52","15",21.7,6.3,".324",".563",".367","0.930","34","0","1","91.4",39,9.9,"4.7","25.8",
"Hernandez, Elier","609274","2022","27","33","35","6","4","2","0","0","15","1",42.9,2.9,".182",".242",".200","0.442","3","0","0","84",36.8,5.3,,"28.4",
"Mondesi, Adalberto","609275","2022","26","50","54","7","7","0","0","0","20","4",37,7.4,".140",".140",".204","0.344","3","0","5","88",16.7,3.3,,"27.4",
"Andujar, Miguel","609280","2022","27","132","140","31","24","5","1","1","27","5",19.3,3.6,".235",".311",".257","0.568","17","1","4","84.4",34.3,3.7,"4.51","27.4",
"Vosler, Jason","613564","2022","28","98","111","26","15","6","1","4","29","10",26.1,9,".265",".469",".342","0.811","12","1","1","84.7",41.4,4.3,"4.55","26.7",
"Cordero, Franchy","614173","2022","27","242","275","53","27","17","1","8","92","28",33.5,10.2,".219",".397",".300","0.697","29","1","4","89.7",39,12.3,"4.27","28.6",
"Reyes, Franmil","614177","2022","26","438","473","97","64","17","2","14","157","30",33.2,6.3,".221",".365",".273","0.638","47","1","2","92",27.8,11.3,"4.8","26.0",
"Torrens, Luis","620443","2022","26","151","166","34","29","2","0","3","50","12",30.1,7.2,".225",".298",".283","0.581","15","0","0","90.3",34,4.9,"4.79","26.0",
"Martin Jr., Richie","621006","2022","27","30","33","5","3","0","2","0","10","3",30.3,9.1,".167",".300",".242","0.542","3","1","3","86.5",30,5,,"28.8",
"Schrock, Max","621011","2022","27","26","27","4","4","0","0","0","6","1",22.2,3.7,".154",".154",".185","0.339","1","0","0","82.8",25,0,,"25.6",
"Swanson, Dansby","621020","2022","28","640","696","177","119","32","1","25","182","49",26.1,7,".277",".447",".329","0.776","96","7","18","90.2",37,10.8,"4.33","28.4",
"Newman, Kevin","621028","2022","28","288","309","79","57","18","2","2","48","16",15.5,5.2,".274",".372",".316","0.688","24","2","8","85.8",31.7,1.6,"4.39","27.9",
"Taylor, Chris","621035","2022","31","402","454","89","51","25","3","10","160","44",35.2,9.7,".221",".373",".304","0.677","43","1","10","87.4",40.8,10.2,"4.35","28.5",
"Correa, Carlos","621043","2022","27","522","590","152","105","24","1","22","121","61",20.5,10.3,".291",".467",".366","0.833","64","1","0","89.9",35.3,11.4,"4.57","27.1",
"Phillips, Brett","621433","2022","28","201","225","29","18","6","0","5","94","16",41.8,7.1,".144",".249",".217","0.466","15","0","7","88.5",32.1,4.5,"4.15","28.9",
"Taylor, Tyrone","621438","2022","28","373","405","87","46","21","3","17","102","22",25.2,5.4,".233",".442",".286","0.728","51","2","3","88",34.7,9.9,"4.5","28.5",
"Buxton, Byron","621439","2022","28","340","382","76","32","13","3","28","116","34",30.4,8.9,".224",".526",".306","0.832","51","0","6","92.9",34.2,16.4,"4.16","29.1",
"Brinson, Lewis","621446","2022","28","36","39","6","1","2","0","3","14","2",35.9,5.1,".167",".472",".211","0.683","4","0","1","87.8",30.4,13,,"28.9",
"Bolt, Skye","621450","2022","28","106","116","21","15","2","0","4","30","7",25.9,6,".198",".330",".259","0.589","13","0","5","89.2",29.9,5.2,"4.45","27.8",
"Duggar, Steven","621453","2022","28","72","80","11","7","3","1","0","41","7",51.2,8.8,".153",".222",".225","0.447","4","1","5","92.9",34.4,6.3,,"28.0",
"Rios, Edwin","621458","2022","28","86","92","21","13","1","0","7","36","5",39.1,5.4,".244",".500",".293","0.793","17","1","0","88.5",46,14,"4.62","25.3",
"Ward, Taylor","621493","2022","28","495","564","139","92","22","2","23","120","60",21.3,10.6,".281",".473",".360","0.833","65","3","5","90",41.8,12.4,"4.4","28.4",
"Nido, Tomas","621512","2022","28","284","313","68","50","15","0","3","76","14",24.3,4.5,".239",".324",".276","0.600","28","0","0","86.3",40.1,6.3,"4.82","25.6",
"Bemboom, Anthony","621532","2022","32","52","59","6","3","2","0","1","17","6",28.8,10.2,".115",".212",".207","0.419","1","0","0","90.1",30.6,5.6,"4.52","26.9",
"Wisdom, Patrick","621550","2022","30","469","534","97","44","28","0","25","183","53",34.3,9.9,".207",".426",".298","0.724","66","4","8","90.7",29.8,14.2,"4.5","27.8",
"Wendle, Joey","621563","2022","32","347","371","90","62","24","1","3","50","15",13.5,4,".259",".360",".297","0.657","32","3","12","87.5",27.9,1.7,"4.29","27.3",
"Olson, Matt","621566","2022","28","616","699","148","70","44","0","34","170","75",24.3,10.7,".240",".477",".325","0.802","103","0","0","92.9",33.8,13.6,"4.65","26.3",
"Duffy, Matt","622110","2022","31","228","247","57","47","8","0","2","50","17",20.2,6.9,".250",".311",".308","0.619","16","0","0","87.1",38.8,2.8,"4.56","26.8",
"Munoz, Yairo","622168","2022","27","57","60","12","7","2","0","3","10","3",16.7,5,".211",".404",".250","0.654","7","0","1","85",14.9,4.3,"4.33","28.5",
"Walton, Donovan","622268","2022","28","76","78","12","3","8","0","1","16","1",20.5,1.3,".158",".303",".179","0.482","8","0","0","86.1",33.3,5,"4.32","27.7",
"Margot, Manuel","622534","2022","27","336","363","92","68","18","2","4","68","24",18.7,6.6,".274",".375",".325","0.700","47","3","7","89.5",30.9,3.7,"4.33","28.0",
"Reyes, Pablo","622569","2022","28","15","16","4","4","0","0","0","2","1",12.5,6.3,".267",".267",".313","0.580","0","0","0","83.6",15.4,0,,"27.2",
"Camargo, Johan","622666","2022","28","152","166","36","30","3","0","3","37","13",22.3,7.8,".237",".316",".297","0.613","15","0","0","86.4",37.1,2.6,"4.72","24.8",
"Reyes, Victor","622682","2022","27","315","336","80","55","19","3","3","77","13",22.9,3.9,".254",".362",".289","0.651","34","2","2","87.9",35.5,5,"4.5","27.5",
"Mateo, Jorge","622761","2022","27","494","533","109","64","25","7","13","147","27",27.6,5.1,".221",".379",".267","0.646","50","9","35","86.8",35.5,6,"4.2","30.1",
"Heineman, Tyler","623168","2022","31","157","174","34","26","8","0","0","17","8",9.8,4.6,".217",".268",".276","0.544","9","0","1","82.7",34,0,"4.45","26.7",
"Velazquez, Andrew","623205","2022","27","322","349","63","46","8","0","9","119","15",34.1,4.3,".196",".304",".236","0.540","28","1","17","88",33,6.6,"4.23","29.1",
"Bote, David","623520","2022","29","116","127","30","18","8","0","4","45","6",35.4,4.7,".259",".431",".315","0.746","12","0","1","92.4",34.7,6.9,"4.5","26.7",
"Ramirez, Harold","623912","2022","27","403","435","121","91","24","0","6","72","19",16.6,4.4,".300",".404",".343","0.747","58","5","3","88.5",32.2,4.8,"4.33","28.1",
"Santander, Anthony","623993","2022","27","574","647","138","81","24","0","33","122","55",18.9,8.5,".240",".455",".318","0.773","89","2","0","90.1",33.5,11.6,"4.67","26.5",
"Alonso, Pete","624413","2022","27","597","685","162","95","27","0","40","128","67",18.7,9.8,".271",".518",".352","0.870","131","1","5","89.8",34.5,12.3,"4.67","25.6",
"Arroyo, Christian","624414","2022","27","280","300","80","57","16","1","6","49","13",16.3,4.3,".286",".414",".322","0.736","36","1","5","88.9",34.9,6.4,"4.42","27.8",
"Biggio, Cavan","624415","2022","27","257","303","52","27","18","1","6","85","38",28.1,12.5,".202",".350",".318","0.668","24","0","2","88.3",36.2,6.9,"4.35","28.4",
"Frazier, Adam","624428","2022","30","541","602","129","100","22","4","3","73","46",12.1,7.6,".238",".311",".301","0.612","42","6","11","85.1",37.7,1.5,"4.4","26.8",
"Trevino, Jose","624431","2022","29","335","353","83","59","12","1","11","62","15",17.6,4.2,".248",".388",".283","0.671","43","1","2","87.9",31,5.1,"4.69","25.0",
"Gordon, Nick","624503","2022","26","405","443","110","69","28","4","9","105","19",23.7,4.3,".272",".427",".316","0.743","50","4","6","90.6",36.6,9.4,"4.41","27.8",
"McGuire, Reese","624512","2022","27","249","274","67","49","14","1","3","56","12",20.4,4.4,".269",".369",".307","0.676","22","0","1","87",33.2,2.5,"4.51","26.0",
"Nunez, Dom","624513","2022","27","33","41","4","3","1","0","0","10","6",24.4,14.6,".121",".152",".244","0.396","2","0","0","85.3",28,4,,"24.5",
"Soler, Jorge","624585","2022","30","270","306","56","30","13","0","13","90","31",29.4,10.1,".207",".400",".295","0.695","34","2","0","91.2",33.1,12.2,"4.66","26.9",
"Sosa, Edmundo","624641","2022","26","176","190","40","23","11","4","2","50","5",26.3,2.6,".227",".369",".275","0.644","21","1","6","86.8",34.4,5.5,"4.32","29.5",
"Heredia, Guillermo","628338","2022","31","76","82","12","5","3","1","3","32","6",39,7.3,".158",".342",".220","0.562","8","0","0","86",38.6,11.4,"4.38","28.0",
"Hernandez, Yadiel","628450","2022","34","305","327","82","57","16","0","9","74","19",22.6,5.8,".269",".410",".312","0.722","41","1","2","88.8",35.6,8.6,"4.62","25.6",
"Ibanez, Andy","628451","2022","29","119","128","26","21","4","0","1","21","9",16.4,7,".218",".277",".273","0.550","9","0","3","88.3",29.6,6.1,"4.41","27.4",
"Cronenworth, Jake","630105","2022","28","587","684","140","89","30","4","17","131","70",19.2,10.2,".239",".390",".332","0.722","88","0","3","87.6",32.3,5.6,"4.33","28.2",
"Frazier, Clint","640449","2022","27","37","45","8","5","3","0","0","11","7",24.4,15.6,".216",".297",".356","0.653","1","0","1","85.9",23.1,3.8,,"26.6",
"Meadows, Austin","640457","2022","27","128","147","32","24","6","2","0","17","16",11.6,10.9,".250",".328",".347","0.675","11","1","0","87.8",34.2,6.3,"4.41","27.2",
"Mercado, Oscar","640458","2022","27","121","128","25","14","6","1","4","29","5",22.7,3.9,".207",".372",".242","0.614","16","2","2","86.3",33.3,6.5,"4.41","28.3",
"Pinder, Chad","640461","2022","30","361","379","85","55","18","0","12","118","14",31.1,3.7,".235",".385",".263","0.648","42","0","2","87.5",33.3,6.5,"4.7","25.9",
"Azocar, Jose","640492","2022","26","202","216","52","40","9","3","0","44","12",20.4,5.6,".257",".332",".298","0.630","10","6","5","88.3",31.3,2.5,"4.34","29.4",
"Anderson, Tim","641313","2022","29","332","351","100","81","13","0","6","55","14",15.7,4,".301",".395",".339","0.734","25","0","13","88.2",37.5,5.8,"4.32","28.3",
"Bellinger, Cody","641355","2022","26","504","550","106","57","27","3","19","150","38",27.3,6.9,".210",".389",".265","0.654","68","3","14","89.4",34.4,8.3,"4.23","28.1",
"Calhoun, Willie","641432","2022","27","52","62","7","3","3","0","1","8","9",12.9,14.5,".135",".250",".274","0.524","3","0","0","89.4",22.7,2.3,,"25.9",
"Collins, Zack","641470","2022","27","97","108","15","7","4","0","4","41","9",38,8.3,".155",".320",".231","0.551","11","0","0","91",35.1,8.8,,"24.5",
"Crawford, J.P.","641487","2022","27","518","603","126","93","24","3","6","80","68",13.3,11.3,".243",".336",".339","0.675","42","2","3","85.1",32.4,2,"4.45","26.8",
"Davis, Jonathan","641505","2022","30","76","91","17","16","1","0","0","26","14",28.6,15.4,".224",".237",".344","0.581","4","1","7","84.6",33.3,0,"4.41","28.1",
"Delay, Jason","641511","2022","27","155","167","33","26","6","0","1","50","9",29.9,5.4,".213",".271",".265","0.536","11","2","0","84.9",31.1,1.9,"4.74","26.1",
"DeLuzio, Ben","641512","2022","27","20","25","3","2","1","0","0","5","3",20,12,".150",".200",".292","0.492","0","1","0","72.8",37.5,0,,"30.0",
"Demeritte, Travis","641513","2022","27","89","96","19","14","2","0","3","32","6",33.3,6.3,".213",".337",".260","0.597","6","0","0","88.8",34.5,6.9,"4.46","28.3",
"Dixon, Brandon","641525","2022","30","14","14","3","2","1","0","0","5","0",35.7,0,".214",".286",".214","0.500","1","0","0","88.4",33.3,0,,,
"Dozier, Hunter","641531","2022","30","462","500","109","67","26","4","12","125","34",25,6.8,".236",".387",".292","0.679","41","3","4","88.5",33.1,7.7,"4.49","27.9",
"Engel, Adam","641553","2022","30","245","260","55","39","13","1","2","76","11",29.2,4.2,".224",".310",".269","0.579","17","4","12","87.9",30.8,1.8,"4.2","29.1",
"Fraley, Jake","641584","2022","27","216","247","56","35","9","0","12","54","26",21.9,10.5,".259",".468",".344","0.812","28","1","4","85.1",33.5,7.3,"4.26","27.9",
"Garver, Mitch","641598","2022","31","188","215","39","22","7","0","10","53","23",24.7,10.7,".207",".404",".298","0.702","24","1","1","88.9",37.2,8.8,"4.68","26.3",
"Guillorme, Luis","641645","2022","27","297","335","81","66","12","1","2","46","34",13.7,10.1,".273",".340",".351","0.691","17","0","1","86.2",35.6,2.4,"4.52","25.9",
"Hampson, Garrett","641658","2022","27","199","226","42","30","7","3","2","63","21",27.9,9.3,".211",".307",".287","0.594","15","2","12","86.5",29.8,4.3,"4.25","29.5",
"Heim, Jonah","641680","2022","27","406","450","92","55","20","1","16","87","41",19.3,9.1,".227",".399",".298","0.697","48","0","2","89.3",29.6,6.9,"4.79","26.0",
"Hermosillo, Michael","641684","2022","27","61","73","7","5","2","0","0","27","7",37,9.6,".115",".148",".250","0.398","4","0","1","86.6",37.1,8.6,,"28.5",
"Katoh, Gosuke","641741","2022","27","7","11","1","0","1","0","0","1","3",9.1,27.3,".143",".286",".400","0.686","0","0","0","83.3",14.3,0,,,
"Leblanc, Charles","641779","2022","26","156","169","41","27","10","0","4","53","12",31.4,7.1,".263",".404",".320","0.724","11","2","4","87.3",36.9,8.7,"4.33","28.0",
"Lewis, Kyle","641786","2022","26","56","62","8","5","0","0","3","19","5",30.6,8.1,".143",".304",".226","0.530","5","0","0","89.9",24.3,10.8,"4.97","24.1",
"Locastro, Tim","641796","2022","29","43","46","8","5","1","0","2","7","2",15.2,4.3,".186",".349",".239","0.588","4","2","8","86.5",33.3,5.6,"4.18","30.1",
"Mancini III, Trey","641820","2022","30","519","587","124","82","23","1","18","135","53",23,9,".239",".391",".319","0.710","63","0","0","89.5",39.6,9.8,"4.76","25.6",
"McKinney, Billy","641856","2022","27","52","57","5","3","1","0","1","16","4",28.1,7,".096",".173",".158","0.331","4","0","0","83.8",29.7,5.4,"4.44","27.0",
"McMahon, Ryan","641857","2022","27","529","597","130","84","23","3","20","158","60",26.5,10.1,".246",".414",".327","0.741","67","3","7","91.7",36.4,10.4,"4.61","25.8",
"Neuse, Sheldon","641914","2022","27","271","293","58","48","4","2","4","80","20",27.3,6.8,".214",".288",".273","0.561","26","1","6","89.1",23,3.1,"4.63","26.4",
"O'Neill, Tyler","641933","2022","27","334","383","76","50","11","1","14","103","38",26.9,9.9,".228",".392",".308","0.700","58","4","14","89.8",36.6,11.3,"4.28","29.8",
"Palacios, Joshua","641943","2022","26","47","49","10","8","2","0","0","15","1",30.6,2,".213",".255",".245","0.500","2","0","1","81.3",28.1,0,"4.2","28.5",
"Robinson, Chuckie","642020","2022","27","59","60","8","4","2","0","2","17","0",28.3,0,".136",".271",".136","0.407","5","0","0","86.2",23.3,9.3,"4.61","26.5",
"Smith, Dominic","642086","2022","27","134","152","26","15","10","1","0","37","12",24.3,7.9,".194",".284",".276","0.560","17","0","0","89.6",28.3,7.1,"4.52","26.3",
"Tellez, Rowdy","642133","2022","27","529","599","116","58","23","0","35","121","62",20.2,10.4,".219",".461",".306","0.767","89","1","2","91.1",31.4,12.9,"4.83","23.8",
"Thaiss, Matt","642136","2022","27","69","81","15","12","1","0","2","24","11",29.6,13.6,".217",".319",".321","0.640","8","0","1","88.5",21.7,6.5,"4.88","24.4",
"Thomas, Cody","642137","2022","27","30","32","8","8","0","0","0","12","2",37.5,6.3,".267",".267",".313","0.580","0","0","0","89.5",33.3,0,,"26.3",
"VanMeter, Josh","642165","2022","27","171","192","32","22","5","2","3","45","19",23.4,9.9,".187",".292",".266","0.558","14","0","4","88.1",37.5,4.7,"4.62","26.1",
"Wade, Tyler","642180","2022","27","147","163","32","26","5","0","1","33","10",20.2,6.1,".218",".272",".272","0.544","8","5","8","83.9",37,1.7,"4.16","29.0",
"White, Eli","642201","2022","28","105","117","21","16","2","0","3","41","11",35,9.4,".200",".305",".274","0.579","10","1","12","86.4",30.8,4.6,"4.11","30.0",
"Mejia, Francisco","642336","2022","26","289","299","70","42","22","0","6","65","7",21.7,2.3,".242",".381",".264","0.645","31","0","0","86.8",39.1,2.7,"4.41","26.9",
"Siri, Jose","642350","2022","26","301","325","64","42","13","2","7","108","20",33.2,6.2,".213",".339",".268","0.607","24","2","14","87.2",35.1,6.2,"4.2","30.4",
"Sierra, Magneuris","642423","2022","26","91","96","15","11","1","3","0","25","4",26,4.2,".165",".242",".200","0.442","5","1","6","82.2",22.4,0,"4.07","29.6",
"Barrera, Luis","642456","2022","26","77","85","18","12","5","0","1","17","6",20,7.1,".234",".338",".294","0.632","7","0","3","87.1",32.8,3.3,"4.22","28.5",
"Rosario, Amed","642708","2022","26","637","670","180","134","26","9","11","111","25",16.6,3.7,".283",".403",".312","0.715","71","4","18","88.4",31.1,4.5,"4.17","29.5",
"Adames, Willy","642715","2022","26","563","617","134","72","31","0","31","166","49",26.9,7.9,".238",".458",".298","0.756","98","3","8","88.9",36.4,13,"4.41","27.8",
"Gutierrez, Kelvin","642721","2022","27","28","33","4","3","1","0","0","8","4",24.2,12.1,".143",".179",".250","0.429","3","0","1","89.6",25,5,,"28.1",
"Alcantara, Sergio","642727","2022","25","205","224","45","30","8","1","6","57","12",25.4,5.4,".220",".356",".261","0.617","29","2","1","86.6",32.5,1.9,"4.43","27.6",
"Estrada, Thairo","642731","2022","26","488","541","127","89","22","2","14","89","33",16.5,6.1,".260",".400",".322","0.722","62","6","21","86.2",31.6,4.4,"4.3","28.3",
"Wynns, Austin","642851","2022","31","162","177","42","32","7","0","3","38","10",21.5,5.6,".259",".358",".313","0.671","21","0","0","84.1",31.7,4,"4.87","24.9",
"Benintendi, Andrew","643217","2022","27","461","521","140","109","23","3","5","77","52",14.8,10,".304",".399",".373","0.772","51","3","8","89.2",39.2,5.1,"4.38","27.5",
"Cooper, Garrett","643265","2022","31","414","469","108","64","33","2","9","119","40",25.4,8.5,".261",".415",".337","0.752","50","0","0","89.6",39,10.7,"4.66","26.3",
"Dubon, Mauricio","643289","2022","27","243","265","52","38","9","0","5","30","13",11.3,4.9,".214",".313",".252","0.565","24","3","2","84.7",28.1,2.3,"4.28","28.2",
"Hamilton, Caleb","643348","2022","27","18","23","1","0","0","0","1","14","4",60.9,17.4,".056",".222",".227","0.449","1","0","0","95.7",40,20,,,
"Jansen, Danny","643376","2022","27","215","248","56","31","10","0","15","44","25",17.7,10.1,".260",".516",".339","0.855","44","0","1","90.4",34.7,13.1,"4.51","27.5",
"Kemp, Tony","643393","2022","30","497","558","117","84","24","2","7","69","45",12.4,8.1,".235",".334",".307","0.641","46","1","11","84.4",33.9,1.6,"4.47","26.1",
"Kiner-Falefa, Isiah","643396","2022","27","483","531","126","102","20","0","4","72","35",13.6,6.6,".261",".327",".314","0.641","48","4","22","86.2",29.6,1.2,"4.27","28.4",
"McNeil, Jeff","643446","2022","30","533","589","174","125","39","1","9","61","40",10.4,6.8,".326",".454",".382","0.836","62","0","4","86.9",39,2.7,"4.16","27.4",
"Schwindel, Frank","643524","2022","30","271","292","62","43","11","0","8","58","19",19.9,6.5,".229",".358",".277","0.635","36","0","0","88.1",31.6,4.7,"4.65","25.6",
"Chang, Yu","644374","2022","26","168","190","35","25","6","0","4","59","16",31.1,8.4,".208",".315",".289","0.604","15","1","0","88.8",35.1,9,"4.52","28.4",
"Albies, Ozzie","645277","2022","25","247","269","61","37","16","0","8","47","16",17.5,5.9,".247",".409",".294","0.703","35","5","3","87.1",34.8,5.4,"4.2","27.5",
"Robles, Victor","645302","2022","25","366","407","82","64","10","2","6","104","17",25.6,4.2,".224",".311",".273","0.584","33","4","15","84.6",29.2,3.2,"4.36","28.7",
"Herrera, Jose","645444","2022","25","111","124","21","19","2","0","0","34","9",27.4,7.3,".189",".207",".250","0.457","5","0","0","84.7",23.5,0,"4.64","25.3",
"Ford, Mike","645801","2022","29","131","149","27","19","5","0","3","40","17",26.8,11.4,".206",".313",".302","0.615","10","0","0","88.7",37.4,3.3,"4.79","24.2",
"Devers, Rafael","646240","2022","25","555","614","164","94","42","1","27","114","50",18.6,8.1,".295",".521",".358","0.879","88","1","3","93.1",33.1,11.5,"4.57","25.5",
"Naylor, Josh","647304","2022","25","449","498","115","67","28","0","20","80","38",16.1,7.6,".256",".452",".319","0.771","79","1","6","89.4",28.9,8.6,"4.63","25.3",
"Toro, Abraham","647351","2022","25","324","352","60","36","13","1","10","65","22",18.5,6.3,".185",".324",".239","0.563","35","0","2","87",31.2,6.8,"4.31","28.0",
"Diaz, Aledmys","649557","2022","31","305","327","74","49","13","0","12","53","18",16.2,5.5,".243",".403",".287","0.690","38","1","1","86.6",30.3,6.3,"4.33","27.7",
"Urias, Luis","649966","2022","25","406","472","97","63","17","1","16","99","50",21,10.6,".239",".404",".335","0.739","47","2","1","87.3",34.3,8.3,"4.63","26.4",
"Diaz, Lewin","650331","2022","25","160","174","27","18","4","0","5","54","11",31,6.3,".169",".287",".224","0.511","11","0","1","88.3",29.6,5.6,"4.74","24.7",
"Arraez, Luis","650333","2022","25","547","603","173","133","31","1","8","43","50",7.1,8.3,".316",".420",".375","0.795","49","4","4","88.9",38.7,3.6,"4.49","26.8",
"Palacios, Jermaine","650339","2022","25","70","77","10","8","0","0","2","27","4",35.1,5.2,".143",".229",".184","0.413","6","0","0","87.5",34.8,6.5,"4.45","28.4",
"Jimenez, Eloy","650391","2022","25","292","327","86","58","12","0","16","72","28",22,8.6,".295",".500",".358","0.858","54","0","0","92.8",31.7,14.7,"4.62","25.7",
"Torres, Gleyber","650402","2022","25","526","572","135","82","28","1","24","129","39",22.6,6.8,".257",".451",".310","0.761","76","5","10","90.4",36.2,10.7,"4.51","26.9",
"Castro, Willi","650489","2022","25","365","392","88","60","18","2","8","82","15",20.9,3.8,".241",".367",".284","0.651","31","4","9","84.8",35.5,3.5,"4.29","28.4",
"Diaz, Yandy","650490","2022","30","473","558","140","98","33","0","9","60","78",10.8,14,".296",".423",".401","0.824","57","3","3","92.2",30.7,4.8,"4.53","27.1",
